,game_sequence,game_pk,team,starting_pitcher,is_home,n_pitches,ip,er,k,bb,h
0,1,446873,NYM,518774,False,83.0,5.67,3.0,2.0,2.0,8.0
1,1,446873,KC,450172,True,106.0,6.0,0.0,5.0,3.0,2.0
2,2,446877,STL,425794,False,96.0,6.0,3.0,3.0,3.0,6.0
3,2,446877,PIT,434538,True,94.0,6.0,0.0,10.0,5.0,3.0
4,3,446911,TOR,573186,False,98.0,8.0,3.0,5.0,1.0,6.0
5,3,446911,TB,502042,True,107.0,5.0,2.0,12.0,3.0,5.0
6,4,452866,CHC,543294,False,66.0,5.0,1.0,7.0,0.0,5.0
7,4,452866,LAA,533167,True,72.0,5.0,2.0,4.0,1.0,3.0
8,5,446889,CHC,453562,False,89.0,7.0,0.0,6.0,1.0,2.0
9,5,446889,LAA,572070,True,97.0,5.0,3.0,7.0,3.0,6.0
10,6,446879,WSH,453286,False,104.0,7.0,2.0,7.0,2.0,3.0
11,6,446879,ATL,527054,True,102.0,6.0,2.0,4.0,3.0,5.0
12,7,446878,TOR,285079,False,82.0,5.0,3.0,3.0,2.0,6.0
13,7,446878,TB,592767,True,98.0,6.67,5.0,5.0,1.0,6.0
14,8,446876,SEA,433587,False,93.0,6.0,1.0,6.0,5.0,1.0
15,8,446876,TEX,430935,True,104.0,7.0,2.0,8.0,3.0,4.0
16,9,446875,SF,518516,False,101.0,5.0,3.0,6.0,5.0,5.0
17,9,446875,MIL,503449,True,83.0,4.0,4.0,2.0,2.0,6.0
18,10,446872,MIN,429722,False,39.0,2.0,0.0,3.0,2.0,2.0
19,10,446872,BAL,501957,True,22.0,2.0,0.0,5.0,0.0,0.0
20,11,446871,LAD,477132,False,96.0,7.0,0.0,9.0,1.0,1.0
21,11,446871,SD,475115,True,94.0,5.33,7.0,5.0,1.0,9.0
22,12,446869,COL,407822,False,94.0,4.67,5.0,8.0,2.0,8.0
23,12,446869,AZ,425844,True,82.0,4.0,7.0,2.0,1.0,9.0
24,13,446868,CWS,519242,False,104.0,7.0,3.0,8.0,1.0,7.0
25,13,446868,OAK,448179,True,66.0,2.67,2.0,3.0,1.0,3.0
26,14,446874,PHI,476451,False,79.0,6.0,0.0,6.0,0.0,3.0
27,14,446874,CIN,628452,True,90.0,6.0,2.0,7.0,0.0,6.0
28,15,446885,SF,456501,False,96.0,7.0,1.0,4.0,0.0,6.0
29,15,446885,MIL,519076,True,88.0,7.33,2.0,3.0,1.0,5.0
30,16,446910,STL,608379,False,98.0,4.33,4.0,3.0,1.0,10.0
31,16,446910,PIT,477003,True,82.0,5.0,4.0,7.0,1.0,5.0
32,17,446896,NYM,592789,False,92.0,6.0,0.0,9.0,1.0,3.0
33,17,446896,KC,432934,True,93.0,5.0,2.0,4.0,3.0,3.0
34,18,446887,TOR,592717,False,91.0,7.0,1.0,8.0,0.0,5.0
35,18,446887,TB,543606,True,111.0,5.67,1.0,10.0,2.0,4.0
36,19,446886,SEA,547874,False,90.0,5.0,2.0,5.0,3.0,6.0
37,19,446886,TEX,527048,True,88.0,6.0,2.0,3.0,4.0,2.0
38,20,446884,LAD,431148,False,75.0,6.0,0.0,5.0,0.0,1.0
39,20,446884,SD,448306,True,81.0,6.0,3.0,6.0,1.0,6.0
40,21,446870,HOU,572971,False,106.0,7.0,2.0,5.0,4.0,3.0
41,21,446870,NYY,547888,True,87.0,5.67,2.0,4.0,1.0,4.0
42,22,446882,COL,518452,False,98.0,5.33,5.0,4.0,3.0,7.0
43,22,446882,AZ,571946,True,91.0,6.0,6.0,2.0,1.0,8.0
44,23,446881,CWS,500779,False,96.0,5.67,2.0,7.0,0.0,7.0
45,23,446881,OAK,605135,True,97.0,5.33,4.0,4.0,2.0,8.0
46,24,446880,CHC,452657,False,93.0,7.0,1.0,4.0,0.0,4.0
47,24,446880,LAA,571760,True,87.0,6.0,4.0,7.0,0.0,7.0
48,25,446867,BOS,456034,False,103.0,6.0,2.0,10.0,2.0,5.0
49,25,446867,CLE,446372,True,96.0,5.33,4.0,5.0,2.0,9.0
50,26,446883,DET,434378,False,98.0,6.0,3.0,5.0,2.0,3.0
51,26,446883,MIA,612672,True,76.0,5.0,5.0,3.0,0.0,9.0
52,27,446898,SF,502188,False,98.0,5.33,3.0,6.0,3.0,8.0
53,27,446898,MIL,543380,True,80.0,5.0,1.0,1.0,2.0,3.0
54,28,446902,WSH,544931,False,88.0,6.0,1.0,4.0,3.0,6.0
55,28,446902,ATL,502032,True,98.0,7.0,3.0,4.0,2.0,6.0
56,29,446901,TOR,457918,False,89.0,6.0,2.0,4.0,1.0,7.0
57,29,446901,TB,519043,True,102.0,5.0,3.0,6.0,2.0,5.0
58,30,446900,STL,502190,False,99.0,4.33,4.0,1.0,3.0,7.0
59,30,446900,PIT,504379,True,84.0,6.0,1.0,7.0,0.0,2.0
60,31,446899,SEA,489119,False,91.0,6.0,5.0,7.0,0.0,7.0
61,31,446899,TEX,407890,True,96.0,6.0,3.0,4.0,3.0,6.0
62,32,446895,MIN,502043,False,105.0,5.0,4.0,3.0,5.0,7.0
63,32,446895,BAL,451596,True,89.0,5.0,1.0,4.0,3.0,2.0
64,33,446897,PHI,605400,False,95.0,7.0,1.0,8.0,0.0,4.0
65,33,446897,CIN,605232,True,86.0,6.0,2.0,9.0,1.0,3.0
66,34,446893,HOU,543521,False,43.0,0.33,5.0,0.0,2.0,3.0
67,34,446893,NYY,501381,True,87.0,5.0,6.0,5.0,0.0,8.0
68,35,446892,DET,434671,False,89.0,5.0,2.0,3.0,3.0,4.0
69,35,446892,MIA,605228,True,106.0,5.67,5.0,13.0,1.0,5.0
70,36,446891,COL,543022,False,89.0,6.33,1.0,3.0,0.0,7.0
71,36,446891,AZ,571578,True,88.0,7.0,4.0,6.0,0.0,8.0
72,37,446890,CWS,607074,False,99.0,7.0,2.0,6.0,1.0,7.0
73,37,446890,OAK,543243,True,97.0,7.0,1.0,5.0,4.0,3.0
74,38,446888,BOS,453329,False,94.0,4.0,5.0,4.0,3.0,6.0
75,38,446888,CLE,471911,True,96.0,5.0,4.0,5.0,1.0,7.0
