,game_sequence,game_pk,team,starting_pitcher,is_home,n_pitches,ip,er,k,bb,h
0,1,490099,CHC,452657,False,102.0,5.0,1.0,7.0,2.0,7.0
1,1,490099,STL,593372,True,105.0,7.33,0.0,10.0,0.0,6.0
2,2,490106,NYY,547888,False,67.0,2.67,7.0,3.0,2.0,8.0
3,2,490106,TB,502042,True,108.0,7.0,2.0,5.0,1.0,7.0
4,3,490110,SF,518516,False,88.0,7.0,3.0,11.0,0.0,6.0
5,3,490110,AZ,425844,True,92.0,5.0,2.0,4.0,2.0,4.0
6,4,490112,TOR,462136,False,89.0,6.0,2.0,4.0,2.0,5.0
7,4,490112,BAL,592332,True,103.0,5.33,2.0,4.0,4.0,5.0
8,5,490111,SEA,433587,False,65.0,5.0,2.0,6.0,0.0,5.0
9,5,490111,HOU,572971,True,85.0,7.0,0.0,4.0,2.0,2.0
10,6,490109,SD,468504,False,65.0,3.33,9.0,2.0,2.0,8.0
11,6,490109,LAD,477132,True,84.0,7.0,1.0,8.0,0.0,2.0
12,7,490108,PIT,543037,False,76.0,5.0,5.0,2.0,1.0,7.0
13,7,490108,BOS,519144,True,96.0,6.33,3.0,5.0,1.0,6.0
14,8,490107,PHI,476451,False,67.0,5.0,1.0,1.0,1.0,6.0
15,8,490107,CIN,444857,True,99.0,4.67,3.0,6.0,2.0,7.0
16,9,490105,MIA,450172,False,82.0,5.0,0.0,6.0,1.0,4.0
17,9,490105,WSH,544931,True,85.0,7.0,2.0,3.0,0.0,6.0
18,10,490104,LAA,445060,False,91.0,5.67,3.0,4.0,2.0,7.0
19,10,490104,OAK,608665,True,104.0,6.0,2.0,7.0,2.0,6.0
20,11,490103,KC,518633,False,100.0,6.0,1.0,8.0,3.0,3.0
21,11,490103,MIN,429722,True,91.0,7.0,1.0,3.0,2.0,2.0
22,12,490101,COL,592351,False,71.0,4.0,5.0,7.0,2.0,6.0
23,12,490101,MIL,448855,True,46.0,3.0,2.0,4.0,0.0,1.0
24,13,490100,CLE,446372,False,109.0,6.0,5.0,6.0,3.0,6.0
25,13,490100,TEX,506433,True,98.0,6.33,4.0,4.0,5.0,4.0
26,14,490098,ATL,527054,False,96.0,6.0,0.0,6.0,3.0,4.0
27,14,490098,NYM,592789,True,86.0,6.0,0.0,7.0,0.0,5.0
28,15,490136,CHC,453562,False,90.0,6.0,0.0,6.0,2.0,4.0
29,15,490136,STL,425794,True,82.0,5.0,2.0,6.0,2.0,3.0
