,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
0,446873,W,2016-04-03,NYM,KC,3,4,518774,450172,434158,431151,493316,446263,435522,624424,452678,518595,501571,444876,519058,456715,543333,434778,460086,521692,408299,571681
1,446877,W,2016-04-03,STL,PIT,1,4,425794,434538,572761,502054,407812,545341,572039,425877,543939,576397,425794,444379,457705,501896,516782,465041,570256,543281,474568,434538
2,446911,L,2016-04-03,TOR,TB,5,3,573186,502042,607680,518626,430832,429665,453064,499624,459431,431145,572365,523253,489149,446334,572816,457775,543543,519306,595281,474233
3,452866,W,2016-04-03,CHC,LAA,4,6,543294,533167,451594,518792,592178,519203,450314,656941,624585,471083,608365,543213,537953,594777,543068,434567,460060,592239,463610,453203
4,446889,L,2016-04-04,CHC,LAA,9,0,453562,572070,451594,518792,450314,519203,592178,656941,624585,471083,608365,488862,537953,545361,405395,594777,543068,592743,542208,543213
5,446879,L,2016-04-04,WSH,ATL,4,3,453286,527054,519184,543685,547180,475582,502517,150029,467092,457787,453286,542255,430947,518692,611177,455976,493343,150229,607054,527054
6,446878,L,2016-04-04,TOR,TB,5,3,285079,592767,607680,518626,430832,429665,453064,499624,459431,572365,489365,523253,489149,446334,572816,457775,543543,519306,595281,592200
7,446876,W,2016-04-04,SEA,TEX,2,3,433587,430935,493114,606466,429664,443558,572122,429711,452252,455104,547982,592261,425783,425902,134181,519048,435622,596059,462101,455139
8,446875,L,2016-04-04,SF,MIL,12,3,518516,503449,452655,605412,457763,452254,474832,622110,543063,518516,434636,570267,542340,460075,518960,474892,431094,571697,503449,542979
9,446872,W,2016-04-04,MIN,BAL,2,3,429722,501957,572821,408045,593934,461858,592696,666560,500871,435559,621439,592518,430945,448801,444432,446308,476883,429666,570731,572073
10,446871,L,2016-04-04,LAD,SD,15,0,477132,475115,400284,608369,457759,408236,624577,408307,592626,454560,477132,445055,519083,461314,571976,493351,500208,425834,605486,475115
11,446869,L,2016-04-04,COL,AZ,10,5,407822,425844,453568,596115,471865,571448,467827,448602,460026,518934,407822,516416,572008,502671,456078,444482,630111,571875,425844,605113
12,446868,L,2016-04-04,CWS,OAK,4,3,519242,448179,594809,276519,547989,453943,466320,541645,543434,425900,457706,542993,476704,502210,502143,501981,456714,592192,519390,543760
13,446874,W,2016-04-04,PHI,CIN,2,6,476451,628452,514917,546318,596748,429667,434563,501986,488721,520471,476451,446359,553993,458015,408252,457803,519023,594807,628452,571740
14,446885,L,2016-04-05,SF,MIL,2,1,456501,519076,452655,605412,457763,452254,474832,622110,543063,456501,434636,570267,571697,460075,518960,474892,570717,431094,542340,519076
15,446910,W,2016-04-05,STL,PIT,5,6,608379,477003,572761,572039,407812,545341,425877,461235,576397,649557,608379,444379,457705,501896,516782,465041,570256,543281,474568,477003
16,446896,L,2016-04-05,NYM,KC,2,0,592789,432934,434158,431151,493316,446263,435522,624424,452678,518595,457477,444876,519058,456715,543333,434778,460086,521692,408299,571681
17,446887,W,2016-04-05,TOR,TB,2,3,592717,543606,607680,518626,430832,429665,453064,475253,459431,431145,572365,523253,489149,446334,572816,457775,543543,519306,595281,474233
