,game_sequence,game_pk,team,starting_pitcher,is_home,n_pitches,ip,er,k,bb,h
0,1,380537,LAD,477132,False,102.0,6.67,1.0,7.0,1.0,5.0
1,1,380537,AZ,489119,True,83.0,5.0,3.0,8.0,2.0,3.0
2,2,396577,MIA,506693,False,31.0,4.0,1.0,4.0,1.0,5.0
3,2,396577,WSH,450729,True,21.0,3.67,0.0,4.0,0.0,2.0
4,3,396560,DET,543456,False,30.0,3.0,5.0,4.0,1.0,8.0
5,3,396560,TOR,445170,True,48.0,6.0,3.0,8.0,1.0,5.0
6,4,396528,BAL,434622,False,29.0,6.0,2.0,1.0,1.0,5.0
7,4,396528,TB,502171,True,55.0,7.0,3.0,12.0,0.0,6.0
8,5,396467,CWS,571476,False,79.0,5.0,1.0,5.0,1.0,5.0
9,5,396467,SD,475115,True,94.0,6.67,1.0,4.0,3.0,6.0
10,6,396421,SEA,435044,False,51.0,4.0,6.0,0.0,6.0,7.0
11,6,396421,OAK,431148,True,40.0,4.33,3.0,5.0,3.0,4.0
12,7,396372,NYY,547888,False,40.0,5.67,3.0,6.0,1.0,5.0
13,7,396372,MIN,429781,True,27.0,6.0,4.0,1.0,0.0,6.0
14,8,396357,LAA,430599,False,43.0,4.33,4.0,3.0,4.0,6.0
15,8,396357,MIL,346798,True,51.0,6.0,3.0,7.0,1.0,8.0
16,9,396452,PHI,150359,False,50.0,5.33,2.0,2.0,6.0,7.0
17,9,396452,PIT,516935,True,36.0,5.0,3.0,3.0,0.0,6.0
18,10,396303,TEX,462102,False,96.0,5.67,7.0,5.0,3.0,7.0
19,10,396303,KC,450306,True,96.0,7.0,1.0,5.0,1.0,8.0
20,11,396289,STL,608379,False,41.0,7.0,2.0,8.0,0.0,4.0
21,11,396289,HOU,519085,True,39.0,5.0,5.0,3.0,2.0,8.0
22,12,396256,SEA,606273,False,35.0,5.33,2.0,4.0,2.0,4.0
23,12,396256,COL,474463,True,38.0,6.0,3.0,1.0,1.0,12.0
24,13,396241,COL,543475,False,38.0,4.67,2.0,3.0,3.0,5.0
25,13,396241,CLE,446372,True,34.0,6.0,7.0,1.0,0.0,11.0
26,14,396211,SF,218596,False,36.0,6.0,1.0,2.0,1.0,7.0
27,14,396211,CWS,462956,True,48.0,5.33,5.0,3.0,4.0,8.0
28,15,396196,CIN,571561,False,43.0,4.67,3.0,4.0,4.0,5.0
29,15,396196,CHC,429719,True,42.0,5.0,4.0,7.0,1.0,8.0
30,16,396142,BOS,407793,False,43.0,4.67,5.0,6.0,0.0,10.0
31,16,396142,ATL,622072,True,31.0,6.0,1.0,4.0,0.0,6.0
32,17,396343,NYM,112526,False,31.0,6.67,2.0,3.0,0.0,5.0
33,17,396343,MIA,543272,True,40.0,4.0,5.0,3.0,3.0,5.0
34,18,396406,TOR,279824,False,24.0,6.33,1.0,0.0,0.0,7.0
35,18,396406,NYY,501381,True,32.0,6.0,2.0,2.0,0.0,6.0
36,19,396542,SD,605538,False,57.0,2.67,5.0,2.0,2.0,5.0
37,19,396542,TEX,434578,True,52.0,1.33,4.0,0.0,2.0,8.0
38,20,396514,HOU,425532,False,31.0,4.0,6.0,2.0,0.0,9.0
39,20,396514,STL,523260,True,45.0,5.0,2.0,5.0,4.0,2.0
40,21,396500,OAK,458676,False,62.0,4.67,2.0,3.0,1.0,2.0
41,21,396500,SEA,150116,True,85.0,6.0,3.0,1.0,2.0,6.0
42,22,396486,KC,570649,False,39.0,5.0,1.0,3.0,3.0,5.0
43,22,396486,SF,453311,True,52.0,4.67,7.0,7.0,1.0,11.0
44,23,396438,MIN,461833,False,37.0,5.0,5.0,3.0,1.0,9.0
45,23,396438,PHI,452718,True,41.0,6.0,1.0,6.0,1.0,5.0
46,24,396422,CHC,434628,False,37.0,4.67,2.0,2.0,3.0,8.0
47,24,396422,OAK,445926,True,39.0,5.67,5.0,6.0,1.0,7.0
48,25,396390,WSH,543699,False,34.0,5.67,1.0,5.0,1.0,2.0
49,25,396390,NYM,516769,True,35.0,5.0,1.0,6.0,1.0,2.0
50,26,396143,NYM,448614,False,26.0,4.0,2.0,4.0,0.0,6.0
51,26,396143,ATL,150119,True,31.0,5.33,0.0,4.0,1.0,2.0
52,27,396274,MIA,545363,False,36.0,6.0,1.0,5.0,1.0,3.0
53,27,396274,DET,592767,True,43.0,5.0,3.0,2.0,3.0,8.0
54,28,396257,CWS,500779,False,19.0,5.0,0.0,2.0,0.0,1.0
55,28,396257,COL,543022,True,41.0,5.33,5.0,3.0,2.0,10.0
56,29,396226,MIL,490063,False,42.0,6.0,1.0,6.0,2.0,4.0
57,29,396226,CIN,502190,True,26.0,4.0,7.0,2.0,0.0,9.0
58,30,396178,TB,519043,False,36.0,4.0,1.0,4.0,4.0,0.0
59,30,396178,BOS,467094,True,47.0,4.33,8.0,6.0,2.0,10.0
60,31,396162,PIT,543037,False,46.0,6.67,6.0,5.0,1.0,8.0
61,31,396162,BAL,592332,True,44.0,4.0,1.0,8.0,2.0,3.0
62,32,380538,LAD,547943,False,87.0,5.0,0.0,5.0,1.0,2.0
63,32,380538,AZ,502239,True,89.0,4.0,5.0,1.0,4.0,8.0
64,33,396318,CLE,502083,False,35.0,6.0,3.0,3.0,1.0,6.0
65,33,396318,LAA,572070,True,37.0,6.33,0.0,2.0,3.0,3.0
66,34,396501,CWS,605304,False,94.0,6.0,3.0,4.0,3.0,4.0
67,34,396501,SEA,518444,True,85.0,5.33,7.0,3.0,0.0,7.0
68,35,396561,PHI,571527,False,10.0,2.0,0.0,2.0,0.0,0.0
69,35,396561,TOR,453344,True,41.0,5.0,4.0,4.0,3.0,5.0
70,36,396543,OAK,595340,False,67.0,4.33,0.0,2.0,1.0,1.0
71,36,396543,TEX,456387,True,57.0,4.0,0.0,0.0,0.0,4.0
72,37,396391,STL,571946,False,39.0,5.0,3.0,4.0,3.0,3.0
73,37,396391,NYM,493137,True,42.0,6.0,1.0,5.0,3.0,3.0
74,38,396344,WSH,518863,False,29.0,5.67,1.0,2.0,1.0,5.0
75,38,396344,MIA,543408,True,35.0,6.0,2.0,1.0,2.0,5.0
76,39,396258,KC,425386,False,37.0,5.0,4.0,4.0,1.0,6.0
77,39,396258,COL,462985,True,38.0,5.0,0.0,7.0,1.0,3.0
