,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
0,634615,W,2021-04-01,LAD,COL,5,8,477132,608566,605141,608369,457759,641355,571970,621035,666158,605131,477132,606132,658069,596115,453568,543068,553869,572008,641658,608566
1,634618,W,2021-04-01,AZ,SD,7,8,518516,506433,668942,606466,572233,444482,452678,500871,656976,519390,518516,502054,665487,592518,543333,571976,630105,595777,605170,506433
2,634622,W,2021-04-01,ATL,PHI,2,3,608331,605400,660670,645277,518692,542303,518595,621020,663586,665506,608331,457705,656555,547180,592663,664761,544369,516416,656514,605400
3,634625,W,2021-04-01,SF,SEA,7,8,592332,594835,596103,573262,456781,446334,474832,527038,457763,543063,643289,571745,664034,572122,657108,666211,664238,641584,608596,641487
4,634630,W,2021-04-01,TEX,KC,10,14,502043,641745,643396,621311,608336,669256,663993,571788,642201,665750,624431,593160,643217,467793,521692,624585,641531,664728,572191,670032
5,634634,L,2021-04-01,PIT,CHC,5,3,641771,543294,624428,663647,668804,592567,621028,570256,607732,546990,641771,664023,575929,519203,592178,592626,595879,518792,623520,543294
6,634636,L,2021-04-01,STL,CIN,11,6,656427,622491,669242,502671,571448,657557,641933,425877,666185,642211,656427,608385,592206,458015,553993,519058,669222,663697,571466,622491
7,634638,W,2021-04-01,MIN,MIL,5,6,628317,605540,650333,518626,593871,593934,596146,621439,641598,592743,628317,543939,669374,592885,541645,543768,456715,553882,649966,605540
8,634640,L,2021-04-01,HOU,OAK,8,1,425844,605135,514888,488726,608324,663656,621043,670541,493329,664702,455117,592192,657656,621566,656305,519048,476704,669221,640461,462101
9,634642,L,2021-04-01,TOR,NYY,3,2,547943,543037,543760,624415,666182,606192,665489,666971,642133,545341,643376,518934,592450,543305,519317,650402,570482,596142,457803,640449
10,634645,W,2021-04-01,CLE,DET,2,3,669456,571510,656669,514917,608070,592696,614177,647304,644374,547379,665926,543257,600869,650489,408234,570731,608577,467092,622682,592444
11,634652,L,2021-04-01,TB,MIA,1,0,607192,645261,660294,640457,668227,664040,650490,595281,642715,572287,607192,572816,516782,542583,594807,605119,665862,595751,500743,645261
12,634655,W,2021-04-01,CWS,LAA,3,4,608337,605164,641313,594809,547989,660162,518735,544725,673357,641470,663611,664058,660271,545361,543685,457708,405395,578428,545358,451594
13,634631,L,2021-04-02,CWS,LAA,12,8,572971,571760,641313,673357,547989,660162,683734,518735,594809,606213,663611,664058,660271,545361,543685,457708,405395,578428,545358,451594
14,634627,L,2021-04-02,BAL,BOS,3,0,607644,543135,656775,641820,623993,663624,547004,669720,596748,520471,600474,571771,657077,502110,593428,646240,592669,503556,543877,666915
15,634605,L,2021-04-02,HOU,OAK,9,5,664299,666200,514888,488726,608324,663656,621043,670541,493329,664702,455117,592192,657656,621566,656305,519048,476704,462101,664789,605244
16,634653,L,2021-04-02,LAD,COL,11,6,545333,622608,605141,608369,457759,641355,571970,669257,572041,666158,545333,606132,658069,596115,453568,543068,641857,572008,624513,622608
17,634578,L,2021-04-02,SF,SEA,6,3,456501,579328,596103,573262,456781,446334,573131,527038,457763,543063,643289,571745,664034,572122,657108,666211,664238,641584,620443,641487
