,game_sequence,game_pk,team,starting_pitcher,is_home,n_pitches,ip,er,k,bb,h
0,1,529406,BOS,519242,False,92.0,6.0,0.0,9.0,3.0,1.0
1,1,529406,TB,502042,True,81.0,6.0,4.0,6.0,1.0,6.0
2,2,529419,STL,593372,False,90.0,4.33,4.0,5.0,6.0,4.0
3,2,529419,NYM,592789,True,85.0,6.0,4.0,10.0,0.0,6.0
4,3,529418,SF,621389,False,81.0,5.0,0.0,3.0,3.0,3.0
5,3,529418,LAD,477132,True,91.0,6.0,1.0,7.0,2.0,8.0
6,4,529416,PHI,605400,False,68.0,5.33,1.0,3.0,1.0,3.0
7,4,529416,ATL,527054,True,90.0,5.67,4.0,3.0,3.0,4.0
8,5,529415,NYY,622663,False,91.0,5.67,0.0,7.0,3.0,1.0
9,5,529415,TOR,457918,True,96.0,4.67,2.0,5.0,1.0,4.0
10,6,529413,MIL,502624,False,97.0,6.0,0.0,6.0,3.0,1.0
11,6,529413,SD,453385,True,83.0,7.0,1.0,4.0,1.0,6.0
12,7,529414,MIN,543606,False,93.0,6.0,0.0,7.0,2.0,2.0
13,7,529414,BAL,605164,True,88.0,7.0,0.0,7.0,1.0,5.0
14,8,529411,HOU,434378,False,90.0,6.0,0.0,5.0,2.0,4.0
15,8,529411,TEX,430935,True,94.0,5.67,3.0,7.0,4.0,5.0
16,9,529410,COL,592351,False,86.0,4.0,3.0,4.0,3.0,6.0
17,9,529410,AZ,571578,True,93.0,5.67,2.0,8.0,1.0,7.0
18,10,529409,CLE,446372,False,91.0,8.0,2.0,8.0,1.0,6.0
19,10,529409,SEA,433587,True,83.0,5.33,0.0,4.0,2.0,2.0
20,11,529408,CWS,448306,False,97.0,6.0,4.0,0.0,1.0,5.0
21,11,529408,KC,518633,True,78.0,4.0,5.0,5.0,2.0,7.0
22,12,529407,CHC,452657,False,71.0,3.33,3.0,2.0,3.0,7.0
23,12,529407,MIA,570632,True,74.0,4.0,5.0,2.0,4.0,6.0
24,13,529412,LAA,572070,False,89.0,5.0,4.0,4.0,3.0,7.0
25,13,529412,OAK,608665,True,78.0,5.0,5.0,1.0,0.0,7.0
26,14,529425,LAA,572140,False,98.0,6.33,0.0,5.0,0.0,3.0
27,14,529425,OAK,640455,True,95.0,7.67,1.0,7.0,0.0,4.0
28,15,529429,SF,456501,False,97.0,7.0,0.0,4.0,0.0,1.0
29,15,529429,LAD,622072,True,90.0,8.0,0.0,5.0,0.0,1.0
30,16,529428,PHI,601713,False,73.0,4.0,3.0,3.0,2.0,5.0
31,16,529428,ATL,592314,True,92.0,5.0,2.0,7.0,1.0,5.0
32,17,529426,MIL,468504,False,69.0,3.33,4.0,1.0,2.0,7.0
33,17,529426,SD,664192,True,75.0,4.67,3.0,1.0,0.0,7.0
34,18,529424,HOU,572971,False,99.0,6.0,3.0,4.0,1.0,7.0
35,18,529424,TEX,450729,True,77.0,5.0,1.0,3.0,3.0,4.0
36,19,529427,NYY,547888,False,79.0,6.0,1.0,8.0,0.0,3.0
37,19,529427,TOR,592717,True,89.0,5.67,4.0,2.0,4.0,8.0
38,20,529422,CHC,543294,False,88.0,6.0,1.0,5.0,3.0,4.0
39,20,529422,MIA,592761,True,100.0,5.33,1.0,8.0,3.0,4.0
40,21,529421,BOS,456034,False,76.0,7.0,0.0,5.0,0.0,4.0
41,21,529421,TB,605483,True,84.0,5.67,0.0,2.0,2.0,3.0
42,22,529420,WSH,453286,False,100.0,6.0,0.0,10.0,1.0,5.0
43,22,529420,CIN,456701,True,104.0,6.0,1.0,3.0,3.0,4.0
44,23,529417,PIT,467100,False,84.0,5.0,2.0,4.0,3.0,6.0
45,23,529417,DET,519455,True,81.0,6.0,4.0,8.0,1.0,6.0
46,24,529423,COL,542881,False,71.0,2.33,7.0,3.0,4.0,5.0
47,24,529423,AZ,592662,True,85.0,5.0,6.0,8.0,3.0,7.0
48,25,529444,WSH,544931,False,99.0,6.33,1.0,7.0,1.0,8.0
49,25,529444,CIN,622491,True,85.0,5.0,6.0,6.0,1.0,6.0
50,26,529443,STL,608379,False,95.0,4.67,4.0,2.0,2.0,5.0
51,26,529443,NYM,594798,True,101.0,5.67,1.0,7.0,1.0,4.0
52,27,529442,SF,502706,False,80.0,5.0,3.0,4.0,3.0,3.0
53,27,529442,LAD,628317,True,90.0,5.0,0.0,10.0,1.0,5.0
54,28,529440,PHI,592826,False,69.0,2.67,4.0,4.0,2.0,9.0
55,28,529440,ATL,435221,True,97.0,5.33,2.0,5.0,3.0,6.0
56,29,529439,NYY,282332,False,84.0,5.0,1.0,4.0,2.0,5.0
57,29,529439,TOR,462136,True,91.0,7.0,3.0,2.0,3.0,4.0
58,30,529438,MIN,502043,False,102.0,6.0,0.0,6.0,5.0,0.0
59,30,529438,BAL,488768,True,79.0,5.0,4.0,5.0,2.0,6.0
60,31,529437,MIL,608718,False,83.0,5.0,3.0,4.0,1.0,5.0
61,31,529437,SD,606131,True,96.0,4.0,5.0,7.0,4.0,7.0
62,32,529435,HOU,621121,False,91.0,5.33,2.0,10.0,1.0,4.0
63,32,529435,TEX,519043,True,85.0,4.0,4.0,6.0,0.0,7.0
64,33,529434,COL,608566,False,89.0,5.0,0.0,4.0,4.0,4.0
65,33,529434,AZ,425844,True,83.0,5.67,1.0,9.0,0.0,5.0
66,34,529433,CLE,471911,False,77.0,5.67,5.0,4.0,0.0,7.0
67,34,529433,SEA,572020,True,104.0,4.67,6.0,4.0,4.0,6.0
68,35,529432,CWS,608337,False,89.0,6.0,3.0,1.0,4.0,4.0
69,35,529432,KC,453178,True,105.0,6.0,1.0,5.0,2.0,4.0
70,36,529431,CHC,506433,False,102.0,4.33,5.0,4.0,2.0,5.0
71,36,529431,MIA,628333,True,82.0,5.0,4.0,6.0,2.0,6.0
72,37,529430,BOS,519144,False,89.0,5.33,1.0,4.0,1.0,6.0
73,37,529430,TB,552640,True,57.0,3.33,1.0,1.0,1.0,3.0
74,38,529436,LAA,533167,False,90.0,5.67,3.0,4.0,4.0,4.0
75,38,529436,OAK,596043,True,100.0,5.67,5.0,5.0,1.0,7.0
76,39,529452,NYY,543243,False,89.0,4.0,1.0,8.0,3.0,7.0
77,39,529452,TOR,573186,True,85.0,5.0,4.0,8.0,3.0,3.0
78,40,529456,WSH,461829,False,91.0,6.0,1.0,7.0,1.0,5.0
79,40,529456,CIN,607219,True,95.0,6.0,3.0,2.0,4.0,4.0
80,41,529455,STL,596133,False,92.0,5.0,1.0,3.0,3.0,5.0
81,41,529455,NYM,571927,True,89.0,4.0,3.0,4.0,3.0,4.0
82,42,529454,SF,608717,False,88.0,5.33,3.0,4.0,0.0,5.0
83,42,529454,LAD,448179,True,82.0,6.0,0.0,5.0,3.0,5.0
84,43,529453,PIT,592866,False,85.0,6.0,0.0,1.0,5.0,0.0
85,43,529453,DET,605242,True,90.0,8.0,1.0,3.0,2.0,4.0
86,44,529451,MIN,621244,False,107.0,9.0,0.0,6.0,1.0,3.0
87,44,529451,BAL,592332,True,73.0,4.0,6.0,5.0,2.0,7.0
88,45,529446,CHC,500779,False,104.0,6.0,6.0,2.0,4.0,6.0
89,45,529446,MIA,596071,True,89.0,6.0,0.0,2.0,1.0,6.0
90,46,529449,HOU,543037,False,102.0,7.0,1.0,11.0,3.0,2.0
91,46,529449,TEX,501985,True,93.0,4.67,2.0,5.0,2.0,3.0
92,47,529448,CLE,545333,False,101.0,5.0,2.0,7.0,3.0,5.0
93,47,529448,SEA,502190,True,101.0,7.0,2.0,4.0,3.0,5.0
94,48,529450,LAA,660271,False,92.0,6.0,3.0,6.0,1.0,3.0
95,48,529450,OAK,605254,True,66.0,4.0,4.0,0.0,2.0,6.0
96,49,529445,BOS,584171,False,79.0,5.67,1.0,5.0,1.0,5.0
97,49,529445,TB,607188,True,83.0,4.0,1.0,2.0,3.0,4.0
98,50,529441,PIT,641771,False,85.0,5.67,4.0,4.0,0.0,8.0
99,50,529441,DET,543001,True,69.0,3.0,3.0,3.0,1.0,5.0
100,51,529470,WSH,543699,False,93.0,7.0,1.0,6.0,1.0,4.0
101,51,529470,ATL,656794,True,97.0,4.33,5.0,6.0,4.0,5.0
102,52,529469,TEX,112526,False,89.0,6.0,1.0,4.0,1.0,7.0
103,52,529469,OAK,592811,True,88.0,5.0,1.0,7.0,2.0,4.0
104,53,529467,STL,571945,False,91.0,5.67,4.0,5.0,0.0,7.0
105,53,529467,MIL,605200,True,88.0,5.67,6.0,6.0,0.0,8.0
106,54,529465,MIN,458681,False,95.0,4.0,5.0,3.0,6.0,3.0
107,54,529465,PIT,592791,True,92.0,5.33,2.0,9.0,0.0,4.0
108,55,529464,LAD,547943,False,75.0,3.67,3.0,2.0,5.0,5.0
109,55,529464,AZ,592836,True,98.0,5.0,3.0,4.0,2.0,8.0
110,56,529463,KC,434628,False,88.0,5.0,5.0,3.0,3.0,7.0
111,56,529463,DET,434538,True,94.0,6.67,1.0,3.0,2.0,4.0
112,57,529461,CLE,605182,False,97.0,5.33,0.0,5.0,2.0,4.0
113,57,529461,LAA,500724,True,73.0,4.67,4.0,3.0,2.0,5.0
114,58,529460,CWS,625643,False,100.0,6.0,1.0,6.0,2.0,2.0
115,58,529460,TOR,448802,True,92.0,6.0,1.0,7.0,2.0,4.0
116,59,529459,CHC,543022,False,92.0,6.0,1.0,4.0,6.0,4.0
117,59,529459,CIN,641816,True,86.0,6.0,0.0,7.0,2.0,1.0
118,60,529458,BOS,598271,False,82.0,6.0,1.0,5.0,2.0,6.0
119,60,529458,MIA,670950,True,93.0,4.33,5.0,5.0,1.0,8.0
120,61,529457,BAL,501957,False,84.0,4.0,4.0,0.0,4.0,7.0
121,61,529457,HOU,450203,True,91.0,6.0,0.0,6.0,2.0,3.0
122,62,529462,COL,518452,False,88.0,5.0,2.0,4.0,4.0,5.0
123,62,529462,SD,571951,True,94.0,5.0,5.0,0.0,3.0,8.0
124,63,529479,PHI,594902,False,91.0,5.67,2.0,5.0,1.0,6.0
125,63,529479,NYM,518774,True,86.0,5.0,0.0,5.0,1.0,1.0
126,64,529483,WSH,595918,False,75.0,3.67,10.0,4.0,3.0,10.0
127,64,529483,ATL,527054,True,66.0,2.33,5.0,2.0,3.0,6.0
128,65,529482,TEX,430935,False,94.0,5.0,1.0,11.0,3.0,4.0
129,65,529482,OAK,608665,True,89.0,5.0,4.0,1.0,1.0,8.0
130,66,529481,STL,656427,False,91.0,5.0,1.0,9.0,1.0,6.0
131,66,529481,MIL,502624,True,82.0,4.0,4.0,5.0,0.0,8.0
132,67,529480,SEA,594835,False,92.0,6.33,3.0,2.0,0.0,6.0
133,67,529480,SF,621389,True,86.0,4.33,6.0,2.0,2.0,10.0
134,68,529478,LAD,477132,False,97.0,6.0,2.0,6.0,1.0,4.0
135,68,529478,AZ,643327,True,96.0,7.0,1.0,3.0,1.0,4.0
136,69,529468,TB,502042,False,96.0,5.0,4.0,8.0,3.0,6.0
137,69,529468,NYY,656756,True,80.0,5.0,1.0,4.0,4.0,2.0
138,70,529476,COL,607536,False,87.0,5.33,4.0,6.0,2.0,5.0
139,70,529476,SD,475115,True,81.0,6.0,3.0,2.0,3.0,5.0
140,71,529475,CLE,458708,False,77.0,3.0,8.0,1.0,1.0,8.0
141,71,529475,LAA,572070,True,102.0,5.67,2.0,9.0,4.0,1.0
142,72,529474,CWS,456068,False,89.0,5.0,5.0,4.0,2.0,8.0
143,72,529474,TOR,457918,True,93.0,5.33,4.0,9.0,1.0,7.0
144,73,529472,BOS,519242,False,93.0,5.0,1.0,6.0,0.0,5.0
145,73,529472,MIA,570632,True,109.0,7.0,1.0,7.0,1.0,4.0
146,74,529471,BAL,605541,False,82.0,5.0,3.0,6.0,1.0,4.0
147,74,529471,HOU,434378,True,103.0,5.67,3.0,9.0,1.0,6.0
148,75,529477,KC,596001,False,87.0,7.0,0.0,6.0,1.0,3.0
149,75,529477,DET,571510,True,88.0,6.0,1.0,1.0,0.0,4.0
150,76,529492,SEA,433587,False,87.0,4.0,8.0,1.0,5.0,6.0
151,76,529492,SF,456501,True,89.0,6.0,1.0,1.0,2.0,8.0
152,77,529496,WSH,453286,False,110.0,5.0,2.0,7.0,2.0,6.0
153,77,529496,ATL,592314,True,95.0,5.33,1.0,8.0,2.0,4.0
154,78,529495,TEX,450729,False,85.0,3.67,2.0,5.0,2.0,7.0
155,78,529495,OAK,640455,True,94.0,8.0,1.0,4.0,1.0,3.0
156,79,529494,TB,605483,False,90.0,3.33,5.0,5.0,3.0,4.0
157,79,529494,NYY,622663,True,92.0,7.33,2.0,7.0,1.0,5.0
158,80,529493,STL,593372,False,114.0,8.33,0.0,10.0,2.0,4.0
159,80,529493,MIL,468504,True,91.0,5.67,3.0,5.0,2.0,7.0
160,81,529491,PHI,605400,False,87.0,5.0,2.0,4.0,4.0,4.0
