,game_sequence,game_pk,team,starting_pitcher,is_home,n_pitches,ip,er,k,bb,h
0,1,718767,CLE,669456,False,87.0,6.0,0.0,3.0,0.0,6.0
1,1,718767,SEA,622491,True,76.0,6.0,0.0,6.0,0.0,1.0
2,2,718782,BAL,502043,False,79.0,5.0,4.0,3.0,1.0,6.0
3,2,718782,BOS,446372,True,80.0,3.33,5.0,4.0,4.0,6.0
4,3,718780,ATL,608331,False,43.0,3.33,1.0,2.0,0.0,4.0
5,3,718780,WSH,571578,True,85.0,3.0,2.0,3.0,3.0,7.0
6,4,718779,PHI,605400,False,72.0,3.67,5.0,4.0,2.0,4.0
7,4,718779,TEX,594798,True,73.0,3.67,5.0,7.0,0.0,6.0
8,5,718778,COL,608566,False,87.0,6.0,2.0,5.0,0.0,5.0
9,5,718778,SD,605483,True,93.0,4.33,3.0,9.0,1.0,6.0
10,6,718777,MIL,669203,False,87.0,5.0,4.0,3.0,3.0,4.0
11,6,718777,CHC,573186,True,90.0,6.0,0.0,8.0,3.0,3.0
12,7,718776,DET,593958,False,88.0,5.33,3.0,5.0,2.0,3.0
13,7,718776,TB,663556,True,87.0,6.0,0.0,6.0,1.0,4.0
14,8,718781,SF,657277,False,92.0,6.0,4.0,12.0,2.0,4.0
15,8,718781,NYY,543037,True,95.0,6.0,0.0,11.0,2.0,3.0
16,9,718774,NYM,453286,False,91.0,6.0,3.0,6.0,2.0,4.0
17,9,718774,MIA,645261,True,96.0,5.67,3.0,2.0,4.0,3.0
18,10,718773,PIT,656605,False,100.0,4.67,4.0,8.0,4.0,5.0
19,10,718773,CIN,668881,True,83.0,3.33,3.0,8.0,3.0,5.0
20,11,718772,TOR,666201,False,85.0,3.33,5.0,3.0,2.0,9.0
21,11,718772,STL,571945,True,90.0,3.33,5.0,6.0,0.0,10.0
22,12,718770,AZ,668678,False,89.0,4.67,5.0,7.0,3.0,6.0
23,12,718770,LAD,628711,True,79.0,6.0,2.0,6.0,0.0,4.0
24,13,718769,LAA,660271,False,93.0,6.0,0.0,10.0,3.0,2.0
25,13,718769,OAK,666205,True,72.0,5.0,1.0,3.0,1.0,4.0
26,14,718768,CWS,656302,False,86.0,6.33,1.0,10.0,0.0,2.0
27,14,718768,HOU,664285,True,85.0,5.0,0.0,4.0,0.0,6.0
28,15,718775,MIN,641154,False,85.0,5.33,0.0,8.0,3.0,2.0
29,15,718775,KC,425844,True,80.0,5.33,2.0,4.0,1.0,7.0
30,16,718771,NYM,656849,False,84.0,5.0,1.0,5.0,1.0,8.0
31,16,718771,MIA,666200,True,91.0,5.67,0.0,5.0,4.0,2.0
32,17,718766,COL,607536,False,74.0,6.0,0.0,1.0,1.0,3.0
33,17,718766,SD,607259,True,101.0,7.0,4.0,5.0,2.0,6.0
34,18,718765,AZ,518876,False,74.0,3.67,0.0,4.0,4.0,3.0
35,18,718765,LAD,669160,True,84.0,7.0,0.0,4.0,1.0,3.0
36,19,718763,CLE,683769,False,70.0,3.67,4.0,4.0,1.0,5.0
37,19,718763,SEA,592662,True,91.0,3.33,3.0,3.0,5.0,4.0
38,20,718764,CWS,458681,False,96.0,5.67,2.0,6.0,4.0,3.0
39,20,718764,HOU,664299,True,82.0,5.0,3.0,6.0,1.0,8.0
40,21,718757,LAA,663776,False,86.0,5.0,1.0,2.0,2.0,2.0
41,21,718757,OAK,660261,True,55.0,2.33,8.0,4.0,3.0,5.0
42,22,718762,SF,502171,False,76.0,3.67,1.0,6.0,1.0,4.0
43,22,718762,NYY,657376,True,76.0,3.33,3.0,5.0,1.0,5.0
44,23,718761,BAL,665152,False,56.0,3.0,5.0,3.0,1.0,6.0
45,23,718761,BOS,519242,True,74.0,3.0,7.0,6.0,2.0,7.0
46,24,718760,CWS,608337,False,97.0,5.0,2.0,6.0,1.0,5.0
47,24,718760,HOU,664353,True,82.0,4.0,3.0,5.0,1.0,7.0
48,25,718759,TOR,592332,False,90.0,6.0,0.0,7.0,1.0,8.0
49,25,718759,STL,656427,True,95.0,5.0,0.0,4.0,7.0,0.0
