,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
0,661042,L,2022-04-07,HOU,LAA,3,1,664285,660271,514888,488726,608324,670541,493329,663656,665161,676801,455117,660271,545361,543685,622110,666176,665120,545358,669016,664058
1,661577,L,2022-04-07,CIN,ATL,6,3,641816,608331,663697,606157,502054,458015,663886,669222,519058,571657,592273,592696,621566,663586,542303,645277,594807,518595,543105,621020
2,662021,W,2022-04-07,PIT,STL,0,9,664141,425794,596129,668804,663647,660294,621028,657061,592325,547379,660829,666185,502671,641933,571448,405395,657557,425877,664056,669242
3,662571,L,2022-04-07,NYM,WSH,5,1,656731,571578,516782,605204,596019,624413,500871,429664,592192,643446,543510,514917,665742,443558,605137,660688,657041,596748,444876,645302
4,662766,W,2022-04-07,CLE,KC,1,3,669456,425844,664702,642708,608070,614177,656252,644374,680757,595978,665926,593160,677951,643217,521692,467793,641531,609275,572191,670032
5,663178,W,2022-04-07,MIL,CHC,4,5,669203,543294,543939,642715,592885,457705,642133,592669,553882,456715,607054,542364,663611,575929,664023,643524,673548,518792,621550,663538
6,663418,W,2022-04-07,SD,AZ,2,4,506433,518516,543592,592518,630105,572228,571976,543333,595777,673490,663757,662139,606466,444482,572233,656976,608348,666179,656403,672695
7,663417,L,2022-04-08,SD,AZ,3,0,640455,518876,663757,592518,630105,572228,543333,595777,571976,682928,595751,669450,606466,608348,572233,444482,662139,672695,656976,656403
8,662933,L,2022-04-08,LAD,COL,5,3,621111,607536,605141,518692,607208,457759,571970,669257,621035,641355,666158,453568,592178,663898,543068,641857,656582,545341,553869,578428
9,662888,W,2022-04-08,CWS,DET,4,5,608337,593958,572041,673357,547989,518735,650391,544725,543281,683734,669394,543257,640457,595879,600869,408234,570731,668731,679529,571466
10,662559,L,2022-04-08,NYM,WSH,7,3,453286,680686,607043,516782,596019,624413,500871,429664,592192,643446,621512,514917,665742,443558,605137,660688,628450,596748,444876,543829
11,662124,W,2022-04-08,MIA,SF,5,6,645261,657277,624585,643265,660821,542583,541645,621563,500743,607732,665862,573262,474832,573131,592626,543063,527038,642731,621453,663698
12,661918,W,2022-04-08,BAL,TB,1,2,607644,663556,656775,663624,641820,669720,623993,602104,622761,455139,642721,650490,677551,623912,668227,664040,572287,666139,622534,595281
13,661782,W,2022-04-08,TEX,TOR,8,10,592351,621244,543543,543760,608369,641598,663993,666969,594777,628451,641432,543807,666182,665489,606192,666971,672386,656305,643376,624415
14,661750,L,2022-04-08,SEA,MIN,2,1,592662,657746,624428,664034,608385,571745,553993,672284,677594,641487,663728,621439,621043,593871,570482,593934,666135,596142,680777,596146
15,661576,W,2022-04-08,CIN,ATL,6,7,665665,450203,663697,571980,502054,458015,663886,669222,519058,571657,641584,645277,621566,663586,542303,594807,592696,518595,621020,606115
16,661333,W,2022-04-08,BOS,NYY,5,6,543135,543037,571771,646240,593428,502110,657077,596115,666915,598265,543877,518626,592450,519203,519317,518934,608336,543305,543309,643396
17,661131,W,2022-04-08,OAK,PHI,5,9,593423,605400,643393,641856,669221,640461,664913,462101,675656,572039,665506,656941,592663,547180,592206,656555,544369,516416,681082,663837
