,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
0,380537,L,2014-03-22,LAD,AZ,3,1,477132,489119,624577,457759,434670,408236,475100,346874,444843,454560,477132,572041,431094,502671,445988,444432,471083,572008,467827,489119
1,396577,W,2014-03-22,MIA,WSH,5,6,506693,450729,545350,456781,425557,542303,407862,421064,425772,501726,506693,452655,435622,150029,475582,547180,467092,425560,457787,450729
2,396560,W,2014-03-22,DET,TOR,4,9,543456,445170,400121,543459,408234,430603,607385,592206,553993,519445,485567,408314,466320,430832,429665,543434,501213,458675,489365,572365
3,396528,L,2014-03-22,BAL,TB,3,3,434622,502171,457789,460099,625329,430321,502182,456665,458210,450641,527031,430203,450314,446334,425766,571976,488862,150040,434624,446386
4,396467,L,2014-03-22,CWS,SD,3,3,571476,475115,608672,541645,543216,493364,276055,499926,458668,430591,544725,465784,506560,576397,475174,523265,452234,460026,543008,475115
5,396421,W,2014-03-22,SEA,OAK,5,6,435044,431148,346795,545338,552662,489149,459431,592637,592868,217100,407833,542993,435558,502210,519083,430948,519390,453539,518653,519299
6,396372,L,2014-03-22,NYY,MIN,5,4,547888,429781,458731,456488,430637,465041,502003,542883,501660,519412,460322,572821,435559,408045,425545,430585,461858,542455,543305,465753
7,396357,L,2014-03-22,LAA,MIL,9,6,430599,346798,594777,545361,285078,501896,116380,435062,474233,543776,430947,460576,430001,460075,133380,448602,502582,467070,455117,346798
8,396452,W,2014-03-22,PHI,PIT,3,5,150359,516935,519184,276519,407781,429667,434563,502126,514917,605125,448242,447736,431145,501983,476883,518911,448170,492841,543094,425549
9,396303,W,2014-03-22,TEX,KC,4,8,462102,450306,595777,462101,451192,450260,608597,450317,547982,489267,520976,493114,444876,543333,452239,460086,519058,502143,451109,502481
10,396289,L,2014-03-22,STL,HOU,5,2,608379,519085,488721,407885,572761,571431,572039,545341,488810,489305,649557,518545,451594,543257,514888,571868,461882,503556,542208,542340
11,396256,W,2014-03-22,SEA,COL,3,4,606273,474463,501659,543543,429664,572122,572287,475253,554429,502261,279827,453568,488681,453064,150212,501647,518586,445095,518934,474463
12,396241,L,2014-03-22,COL,CLE,14,6,543475,446372,572816,453211,471865,571448,408047,592710,572253,457574,457926,452678,430897,543401,467793,488726,502082,543228,449107,471107
13,396211,L,2014-03-22,SF,CWS,8,5,218596,462956,453923,502125,457763,467055,518794,543633,489126,501303,218596,594809,543760,542941,117244,457477,493351,571602,543589,493574
14,396196,L,2014-03-22,CIN,CHC,8,3,571561,429719,571740,502117,408252,407886,465668,430910,446359,455126,571561,446381,448605,519203,592609,435625,456078,435220,430906,429719
15,396142,W,2014-03-22,BOS,ATL,3,6,407793,622072,537953,425664,456030,435063,150229,593428,598265,519025,446395,457788,592743,518692,453400,462564,425491,519345,468429,622072
16,396343,L,2014-03-22,NYM,MIA,10,2,112526,543272,458913,520548,431151,434158,455759,477195,527038,518595,112526,592885,588751,519317,434540,457454,431171,460131,543592,543272
