,game_sequence,game_pk,team,starting_pitcher,is_home,n_pitches,ip,er,k,bb,h
0,1,564927,BOS,519144,False,24.0,5.0,1.0,1.0,1.0,4.0
1,1,564927,BAL,605164,True,26.0,5.33,1.0,3.0,0.0,5.0
2,2,567260,AZ,642203,False,15.0,3.0,0.0,3.0,0.0,0.0
3,2,567260,CWS,429722,True,39.0,4.0,4.0,3.0,2.0,8.0
4,3,567055,DET,605513,False,33.0,5.0,0.0,7.0,1.0,3.0
5,3,567055,PHI,601713,True,47.0,5.0,3.0,8.0,2.0,3.0
6,4,566958,PIT,605397,False,29.0,5.0,3.0,4.0,0.0,8.0
7,4,566958,MIN,501381,True,30.0,5.0,0.0,5.0,1.0,2.0
8,5,566758,CIN,543699,False,40.0,5.33,1.0,5.0,2.0,5.0
9,5,566758,TEX,592716,True,29.0,5.0,1.0,1.0,2.0,3.0
10,6,566564,MIA,641154,False,29.0,6.0,0.0,5.0,0.0,2.0
11,6,566564,STL,594965,True,34.0,3.67,5.0,2.0,2.0,7.0
12,7,566466,CLE,592644,False,32.0,3.67,9.0,3.0,1.0,10.0
13,7,566466,SF,519141,True,32.0,5.0,0.0,1.0,4.0,0.0
14,8,566862,ATL,656794,False,43.0,5.0,3.0,2.0,5.0,2.0
15,8,566862,TOR,533167,True,42.0,5.0,3.0,7.0,2.0,3.0
16,9,566083,SEA,594835,False,69.0,6.0,3.0,4.0,1.0,7.0
17,9,566083,OAK,571666,True,58.0,3.0,5.0,3.0,2.0,4.0
18,10,565603,NYY,656547,False,10.0,2.0,0.0,0.0,1.0,0.0
19,10,565603,HOU,489119,True,38.0,4.67,1.0,5.0,2.0,3.0
20,11,565410,KC,605347,False,69.0,2.0,5.0,2.0,3.0,7.0
21,11,565410,COL,542881,True,84.0,6.0,5.0,7.0,1.0,4.0
22,12,565313,LAA,572140,False,25.0,5.0,3.0,2.0,0.0,5.0
23,12,565313,CLE,471911,True,44.0,5.67,2.0,8.0,1.0,6.0
24,13,565121,LAD,669160,False,21.0,3.0,1.0,3.0,1.0,3.0
25,13,565121,CHC,430935,True,45.0,6.0,4.0,5.0,2.0,7.0
26,14,566272,MIL,605540,False,46.0,5.67,3.0,8.0,1.0,4.0
27,14,566272,SD,621381,True,29.0,5.0,0.0,4.0,1.0,2.0
28,15,566368,CIN,621199,False,10.0,2.0,0.0,2.0,0.0,1.0
29,15,566368,SEA,643290,True,34.0,4.0,1.0,6.0,2.0,2.0
30,16,567549,LAD,547943,False,27.0,5.0,3.0,3.0,0.0,5.0
31,16,567549,MIL,669203,True,48.0,5.0,3.0,9.0,2.0,5.0
32,17,567261,TEX,434628,False,40.0,4.33,5.0,2.0,2.0,6.0
33,17,567261,CWS,467100,True,31.0,5.67,0.0,5.0,0.0,3.0
34,18,567056,TOR,543208,False,34.0,3.33,8.0,5.0,1.0,7.0
35,18,567056,PHI,592826,True,51.0,3.33,3.0,9.0,3.0,5.0
36,19,566759,CLE,605182,False,35.0,4.0,3.0,4.0,2.0,8.0
37,19,566759,TEX,592767,True,35.0,4.0,3.0,4.0,2.0,8.0
38,20,566661,ATL,657140,False,26.0,0.67,6.0,2.0,2.0,4.0
39,20,566661,TB,656713,True,16.0,2.0,1.0,4.0,0.0,2.0
40,21,566565,NYY,593334,False,31.0,3.67,5.0,4.0,0.0,6.0
41,21,566565,STL,663765,True,26.0,4.0,3.0,1.0,2.0,5.0
42,22,566178,BAL,605276,False,31.0,5.0,2.0,2.0,1.0,3.0
43,22,566178,PIT,502042,True,43.0,3.67,3.0,6.0,3.0,4.0
