,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
0,529406,W,2018-03-29,BOS,TB,4,6,519242,502042,605141,643217,434670,502110,593428,646240,456488,598265,543877,622110,595281,460576,543068,467092,452655,588751,621002,608701
1,529419,W,2018-03-29,STL,NYM,4,9,593372,592789,451594,502054,572761,542303,500874,425877,657557,543939,593372,607043,493316,457803,452678,453943,408236,608700,592789,642708
2,529418,L,2018-03-29,SF,LAD,1,0,621389,477132,457706,605412,457705,457763,446334,452254,474832,543063,621389,621035,608369,624577,571771,641355,461314,518735,523253,477132
3,529416,W,2018-03-29,PHI,ATL,5,8,605400,527054,514917,467793,608384,656555,571437,641487,596748,595284,605400,542255,645277,518692,455976,452095,435559,605512,621020,475247
4,529415,L,2018-03-29,NYY,TOR,6,1,622663,457918,458731,592450,519317,596142,543305,544369,592273,435522,592122,581527,518626,475253,434158,434778,545341,431145,607680,649557
5,529413,L,2018-03-29,MIL,SD,2,1,502624,453385,456715,592885,460075,543768,570267,444489,542340,606115,502624,622534,571976,543333,517369,641319,452104,520471,595978,453385
6,529414,W,2018-03-29,MIN,BAL,2,3,543606,605164,572821,408045,593934,592696,489149,500871,596146,621439,488771,448801,592518,570731,430945,641820,542921,476883,502226,543376
7,529411,L,2018-03-29,HOU,TEX,4,1,434378,430935,543807,608324,514888,621043,503556,502210,594828,545350,435263,592261,608336,462101,134181,608577,425783,455139,596059,607387
8,529410,W,2018-03-29,COL,AZ,2,8,592351,571578,453568,518934,571448,596115,471865,435622,467827,455104,592351,444482,572041,502671,571875,606466,488671,605113,502481,571578
9,529409,W,2018-03-29,CLE,SEA,1,2,446372,433587,596019,543401,608070,475174,429665,502082,543228,571980,605548,543829,516416,429664,443558,572122,571745,592387,605357,400085
10,529408,L,2018-03-29,CWS,KC,14,7,448306,518633,660162,541645,547989,571602,547170,456078,641313,570560,641553,445055,593160,519058,446263,596144,624585,460086,444876,460077
11,529407,L,2018-03-29,CHC,MIA,8,4,452657,570632,664023,592178,519203,575929,656941,608365,518792,595879,452657,621446,518618,516770,571506,605119,643265,500743,595453,570632
12,529412,W,2018-03-29,LAA,OAK,5,6,572070,608665,446359,545361,457708,405395,594777,592743,472528,660271,455117,459964,543760,476704,501981,621566,572039,656305,518960,621471
13,529425,L,2018-03-30,LAA,OAK,2,1,572140,640455,435079,545361,457708,405395,446359,594777,592743,455759,455117,543760,519295,476704,501981,621566,572039,656305,518960,640461
14,529429,L,2018-03-30,SF,LAD,1,0,456501,622072,457706,605412,457705,457763,446334,452254,474832,543063,456501,621035,608369,624577,641355,518735,461314,400284,523253,622072
