,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
0,413661,L,2015-04-05,STL,CHC,3,0,425794,452657,572761,518792,407812,425509,571431,425877,543939,445055,425794,451594,624585,519203,516770,458085,592609,424325,452657,600303
1,413662,W,2015-04-06,TEX,OAK,0,8,451596,543243,547982,462101,425902,134181,425783,607387,519048,455139,596059,502226,453539,450314,456714,477195,543434,519390,543760,519299
2,413660,L,2015-04-06,SF,AZ,5,4,518516,518567,493114,605412,434636,457763,474832,431171,543063,453923,518516,572041,542255,502671,444432,431094,572008,488912,605113,518567
3,413659,W,2015-04-06,SD,LAD,3,6,448306,477132,571976,519083,461314,457708,519025,576397,475174,425549,448306,276519,624577,408236,435062,408307,346874,592626,454560,477132
4,413658,W,2015-04-06,PIT,CIN,2,5,434538,456501,543281,570256,457705,435522,516782,476883,465041,474568,434538,571740,458015,453943,519023,407781,457803,408252,446359,456501
5,413657,L,2015-04-06,NYM,WSH,3,1,112526,453286,434158,431151,446263,150212,502517,501571,518595,527038,112526,572191,488862,547180,475582,467092,435622,462564,489138,453286
6,413656,W,2015-04-06,MIN,DET,0,4,461833,456034,542454,572821,408045,116338,573627,461858,542455,435559,457788,434658,435079,408234,400121,502110,493316,592206,488671,578428
7,413663,L,2015-04-06,TOR,NYY,6,1,571800,547888,408314,431145,430832,429665,518626,425900,592647,607680,581527,453056,458731,136860,407893,435263,452104,121347,452220,544369
8,413654,W,2015-04-06,CLE,HOU,0,2,446372,572971,456422,543401,488726,467793,543228,461235,430605,502082,608070,514888,543807,472528,594828,474892,488771,476704,458675,545350
9,413653,W,2015-04-06,CWS,KC,1,10,502188,570649,594809,466320,547989,425560,541645,493351,543216,452095,608672,444876,519058,456715,543333,434778,460086,425567,521692,408299
10,413652,L,2015-04-06,BOS,PHI,8,0,453329,430935,605141,456030,120074,434670,467055,425664,593428,452672,453329,519184,546318,400284,429667,434563,429713,605125,520471,430935
