,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
0,745444,L,2024-03-20,LAD,SD,5,2,607192,506433,605141,660271,518692,669257,571970,606192,681546,518792,666158,593428,665487,630105,592518,673490,595777,669134,642180,701538
1,747889,L,2024-03-20,DET,MIN,12,3,663554,686973,656716,663837,681481,608348,690993,669234,669374,672761,668952,666397,621439,621043,668904,467793,680777,650489,622534,694224
2,747888,L,2024-03-20,NYM,MIA,6,3,681035,687287,607043,621438,621466,572228,553882,596847,578428,621563,670097,660644,624503,660821,541645,542932,667472,542194,641820,681146
3,747887,W,2024-03-20,PIT,NYY,0,12,594835,596133,665833,668804,663647,669261,457705,642133,656582,669707,645305,650402,665742,592450,519317,519203,683011,657077,624431,675656
4,747885,W,2024-03-20,TOR,ATL,9,10,670102,628452,676391,665489,662139,596129,676914,643396,500871,664770,661531,660670,645277,663586,621566,542303,671739,669221,606115,672284
5,747884,W,2024-03-20,PHI,BAL,4,13,592836,665152,656941,607208,681082,669016,656669,596117,595909,665506,665019,656775,668939,683002,623993,663624,656811,602104,622761,663630
6,747886,L,2024-03-20,STL,WSH,13,4,571927,605200,687363,666185,572761,575929,676475,695336,663845,665877,693409,682928,657041,608385,608841,656180,669222,645302,702358,696285
7,747882,W,2024-03-20,CHC,OAK,1,3,643410,621112,643565,663538,641355,643265,444482,665804,670156,672744,623520,676116,680869,664913,667670,605204,669127,671732,665923,669397
8,747881,L,2024-03-20,SF,LAA,5,2,663855,542881,808982,656305,624424,624585,642731,672275,573262,605113,664774,543685,543305,545361,621493,592273,642136,501303,595453,670869
9,747880,W,2024-03-20,COL,AZ,1,5,663567,674072,453568,592178,666134,663898,641857,553869,678662,660707,686668,682998,606466,666971,572233,592626,672515,553993,656896,677950
10,747879,L,2024-03-20,CIN,CWS,3,1,680689,647336,666181,682829,687952,605361,571912,664731,669352,674441,701398,643217,519058,673357,650391,683734,657557,666150,455117,670032
11,747878,L,2024-03-20,TEX,CIN,8,1,641540,695076,543760,669701,694671,665120,677649,641680,668800,656537,676480,663697,668715,600869,641584,663886,656413,645801,681114,570481
12,747883,L,2024-03-20,LAA,KC,8,8,681806,663903,666160,545350,593934,681351,666176,641432,694304,605346,687263,672580,677951,686469,521692,669004,592669,679845,676369,664728
13,747872,W,2024-03-21,MIN,WSH,8,9,663485,592866,666135,571657,686797,670242,680737,675910,668791,676812,684576,682928,657041,608385,608336,660688,592696,671277,545121,645302
14,747877,W,2024-03-21,BAL,BOS,2,3,544150,681867,683002,623993,663624,676059,681297,663527,543939,663630,605421,680776,646240,596115,671213,641933,807799,678882,677800,657136
15,747876,L,2024-03-21,HOU,STL,9,1,641585,668868,514888,670541,663656,608324,547989,676801,673237,676694,665161,680977,502671,669357,571448,676475,671056,691023,666185,691026
16,747874,L,2024-03-21,TB,PHI,6,5,686752,650911,650490,664040,668227,623912,670623,642708,642350,676609,650907,593160,664761,592663,592206,665019,679032,624641,642215,656669
17,747873,L,2024-03-21,TOR,PIT,3,2,694357,663559,543807,666182,457759,672386,595281,624415,676914,687462,672463,665833,668804,663647,669261,457705,642133,572191,678894,641511
18,747871,W,2024-03-21,CIN,SEA,6,7,607259,646242,663697,682829,668715,600869,666181,605361,645801,656413,571912,641487,677594,593871,641598,663728,571745,670042,664238,668942
19,747875,L,2024-03-21,NYM,DET,10,5,687589,666159,643446,596019,624413,596847,516782,682626,683146,621438,664056,678009,682985,679529,681481,592192,690993,595879,570482,608348
20,747869,L,2024-03-21,CHC,COL,5,2,622075,663372,664023,621020,683737,666624,642086,643265,543228,670156,672744,453568,678662,663898,666134,656248,660707,669911,607732,679734
21,747868,W,2024-03-21,KC,CLE,5,8,679525,471911,671221,679845,676369,680769,543592,686475,670231,686523,687731,680757,665926,608070,647304,657656,686823,664702,666310,672356
