,game_sequence,game_pk,team,starting_pitcher,is_home,n_pitches,ip,er,k,bb,h
0,1,745444,LAD,607192,False,77.0,5.0,2.0,3.0,4.0,2.0
1,1,745444,SD,506433,True,72.0,3.67,0.0,3.0,3.0,2.0
2,2,747889,DET,663554,False,70.0,4.67,0.0,4.0,2.0,2.0
3,2,747889,MIN,686973,True,76.0,4.0,8.0,0.0,3.0,9.0
4,3,747888,NYM,681035,False,59.0,4.0,1.0,7.0,0.0,2.0
5,3,747888,MIA,687287,True,60.0,3.33,2.0,3.0,2.0,3.0
6,4,747887,PIT,594835,False,88.0,3.67,9.0,1.0,2.0,10.0
7,4,747887,NYY,596133,True,50.0,3.33,0.0,2.0,1.0,2.0
8,5,747885,TOR,670102,False,32.0,4.67,4.0,3.0,2.0,4.0
9,5,747885,ATL,628452,True,22.0,1.0,3.0,3.0,0.0,3.0
10,6,747884,PHI,592836,False,27.0,2.67,7.0,1.0,3.0,5.0
11,6,747884,BAL,665152,True,34.0,3.67,1.0,5.0,2.0,3.0
12,7,747886,STL,571927,False,27.0,4.0,3.0,3.0,0.0,6.0
13,7,747886,WSH,605200,True,38.0,3.67,9.0,4.0,2.0,10.0
14,8,747882,CHC,643410,False,8.0,1.0,0.0,2.0,0.0,0.0
15,8,747882,OAK,621112,True,27.0,6.0,0.0,3.0,1.0,0.0
16,9,747881,SF,663855,False,40.0,4.67,1.0,6.0,3.0,3.0
17,9,747881,LAA,542881,True,35.0,4.67,1.0,6.0,1.0,5.0
18,10,747880,COL,663567,False,81.0,4.33,3.0,5.0,1.0,6.0
19,10,747880,AZ,674072,True,44.0,3.33,0.0,3.0,1.0,0.0
20,11,747879,CIN,680689,False,22.0,4.0,0.0,3.0,0.0,3.0
21,11,747879,CWS,647336,True,28.0,4.0,0.0,5.0,1.0,1.0
22,12,747878,TEX,641540,False,40.0,5.0,0.0,8.0,1.0,3.0
23,12,747878,CIN,695076,True,23.0,1.33,5.0,3.0,2.0,4.0
