,game_sequence,game_pk,team,starting_pitcher,is_home,n_pitches,ip,er,k,bb,h
0,1,634615,LAD,477132,False,77.0,5.67,5.0,2.0,1.0,10.0
1,1,634615,COL,608566,True,92.0,4.0,1.0,2.0,6.0,6.0
2,2,634618,AZ,518516,False,91.0,4.0,6.0,6.0,3.0,7.0
3,2,634618,SD,506433,True,93.0,4.67,4.0,6.0,1.0,8.0
4,3,634622,ATL,608331,False,94.0,5.0,2.0,8.0,2.0,6.0
5,3,634622,PHI,605400,True,84.0,6.67,2.0,6.0,0.0,6.0
6,4,634625,SF,592332,False,90.0,6.67,1.0,6.0,2.0,2.0
7,4,634625,SEA,594835,True,99.0,6.0,5.0,2.0,3.0,8.0
8,5,634630,TEX,502043,False,32.0,0.33,5.0,1.0,3.0,4.0
9,5,634630,KC,641745,True,51.0,1.33,6.0,0.0,2.0,9.0
10,6,634634,PIT,641771,False,63.0,3.0,1.0,2.0,3.0,1.0
11,6,634634,CHC,543294,True,63.0,3.0,3.0,4.0,3.0,4.0
12,7,634636,STL,656427,False,94.0,4.33,6.0,4.0,2.0,6.0
13,7,634636,CIN,622491,True,73.0,3.33,8.0,0.0,2.0,8.0
14,8,634638,MIN,628317,False,88.0,4.33,1.0,5.0,2.0,6.0
15,8,634638,MIL,605540,True,78.0,4.0,3.0,5.0,2.0,6.0
16,9,634640,HOU,425844,False,82.0,6.0,0.0,4.0,0.0,3.0
17,9,634640,OAK,605135,True,68.0,5.33,3.0,3.0,2.0,4.0
18,10,634642,TOR,547943,False,92.0,5.33,2.0,5.0,1.0,4.0
19,10,634642,NYY,543037,True,97.0,5.33,2.0,8.0,2.0,5.0
20,11,634645,CLE,669456,False,95.0,6.0,3.0,12.0,3.0,5.0
21,11,634645,DET,571510,True,92.0,5.67,0.0,2.0,4.0,3.0
22,12,634652,TB,607192,False,77.0,6.0,0.0,6.0,0.0,1.0
23,12,634652,MIA,645261,True,83.0,6.0,0.0,7.0,2.0,2.0
24,13,634655,CWS,608337,False,87.0,5.33,2.0,8.0,2.0,2.0
25,13,634655,LAA,605164,True,88.0,6.0,3.0,6.0,1.0,6.0
26,14,634631,CWS,572971,False,69.0,4.0,4.0,4.0,2.0,6.0
27,14,634631,LAA,571760,True,70.0,3.0,7.0,4.0,2.0,5.0
28,15,634627,BAL,607644,False,97.0,7.0,0.0,5.0,0.0,1.0
29,15,634627,BOS,543135,True,89.0,5.33,1.0,4.0,1.0,4.0
30,16,634605,HOU,664299,False,73.0,3.67,2.0,4.0,0.0,3.0
31,16,634605,OAK,666200,True,92.0,5.0,5.0,8.0,1.0,8.0
32,17,634653,LAD,545333,False,96.0,6.33,4.0,10.0,2.0,3.0
33,17,634653,COL,622608,True,70.0,3.33,7.0,2.0,1.0,9.0
34,18,634578,SF,456501,False,105.0,5.67,3.0,7.0,3.0,6.0
35,18,634578,SEA,579328,True,89.0,6.0,3.0,10.0,1.0,6.0
36,19,634576,AZ,518876,False,94.0,4.0,3.0,4.0,3.0,5.0
37,19,634576,SD,605483,True,86.0,4.67,0.0,8.0,2.0,4.0
38,20,634602,TB,642232,False,65.0,5.67,0.0,3.0,0.0,4.0
39,20,634602,MIA,641154,True,77.0,5.0,0.0,4.0,2.0,2.0
40,21,634654,STL,425794,False,56.0,2.67,6.0,1.0,1.0,7.0
41,21,634654,CIN,641816,True,84.0,5.0,2.0,9.0,2.0,4.0
42,22,634646,CWS,458681,False,99.0,4.67,0.0,6.0,2.0,6.0
43,22,634646,LAA,502171,True,97.0,6.0,3.0,7.0,1.0,8.0
44,23,634644,TOR,548389,False,77.0,3.33,3.0,5.0,2.0,7.0
45,23,634644,NYY,446372,True,74.0,4.0,1.0,5.0,3.0,5.0
46,24,634643,PIT,542881,False,91.0,5.0,3.0,7.0,2.0,5.0
47,24,634643,CHC,453562,True,84.0,6.0,1.0,5.0,1.0,6.0
48,25,634639,SF,657277,False,97.0,5.33,3.0,5.0,3.0,7.0
49,25,634639,SEA,623167,True,94.0,5.0,0.0,6.0,2.0,4.0
50,26,634629,HOU,621121,False,95.0,5.0,1.0,7.0,3.0,2.0
51,26,634629,OAK,608344,True,82.0,4.33,4.0,2.0,1.0,7.0
52,27,634633,LAD,621111,False,90.0,6.0,2.0,4.0,0.0,4.0
53,27,634633,COL,592351,True,82.0,5.0,1.0,7.0,1.0,4.0
54,28,634604,TEX,685503,False,73.0,5.0,3.0,1.0,0.0,6.0
55,28,634604,KC,501985,True,93.0,6.0,4.0,6.0,2.0,4.0
56,29,634596,TB,448179,False,71.0,4.0,4.0,4.0,2.0,5.0
57,29,634596,MIA,622694,True,34.0,2.33,2.0,3.0,0.0,2.0
58,30,634580,ATL,450203,False,76.0,5.0,3.0,5.0,2.0,6.0
59,30,634580,PHI,554430,True,90.0,7.0,0.0,10.0,0.0,1.0
60,31,634577,BAL,518774,False,86.0,4.67,2.0,4.0,1.0,6.0
61,31,634577,BOS,656557,True,85.0,5.0,2.0,8.0,1.0,6.0
62,32,634575,MIN,621244,False,84.0,6.0,0.0,12.0,0.0,0.0
63,32,634575,MIL,669203,True,87.0,6.33,1.0,11.0,0.0,1.0
64,33,634573,CLE,668676,False,94.0,6.0,2.0,4.0,2.0,6.0
65,33,634573,DET,527054,True,90.0,5.0,1.0,3.0,3.0,4.0
66,34,634623,AZ,592761,False,79.0,3.0,3.0,4.0,3.0,5.0
67,34,634623,SD,605397,True,78.0,6.0,0.0,8.0,0.0,3.0
68,35,634611,CLE,650644,False,91.0,7.0,3.0,6.0,3.0,2.0
69,35,634611,DET,669373,True,87.0,5.33,2.0,4.0,2.0,4.0
70,36,634651,HOU,664353,False,101.0,4.33,2.0,5.0,2.0,4.0
71,36,634651,OAK,640455,True,101.0,4.67,5.0,4.0,3.0,6.0
72,37,634637,CWS,656302,False,92.0,4.67,3.0,3.0,3.0,5.0
73,37,634637,LAA,660271,True,92.0,4.67,1.0,7.0,5.0,2.0
74,38,634617,ATL,666120,False,88.0,5.0,1.0,7.0,2.0,4.0
75,38,634617,PHI,621107,True,80.0,7.0,1.0,8.0,1.0,4.0
76,39,634613,PIT,656605,False,77.0,3.0,3.0,4.0,4.0,2.0
77,39,634613,CHC,605200,True,88.0,5.67,2.0,5.0,3.0,4.0
78,40,634610,BAL,669145,False,73.0,6.0,3.0,5.0,1.0,4.0
79,40,634610,BOS,572070,True,61.0,2.0,6.0,2.0,2.0,7.0
80,41,634607,TOR,643615,False,63.0,4.0,0.0,1.0,1.0,3.0
81,41,634607,NYY,593334,True,68.0,3.0,3.0,2.0,1.0,4.0
82,42,634597,MIN,501381,False,81.0,5.0,0.0,5.0,2.0,4.0
83,42,634597,MIL,605288,True,77.0,5.0,2.0,4.0,2.0,4.0
84,43,634593,TEX,543475,False,76.0,5.67,2.0,8.0,0.0,5.0
85,43,634593,KC,663903,True,77.0,3.33,5.0,5.0,3.0,5.0
86,44,634572,AZ,642203,False,81.0,6.0,0.0,5.0,3.0,3.0
87,44,634572,SD,663978,True,89.0,4.0,2.0,3.0,3.0,4.0
88,45,634560,STL,593372,False,77.0,5.0,4.0,4.0,2.0,4.0
89,45,634560,CIN,656546,True,77.0,5.0,1.0,6.0,0.0,3.0
90,46,634557,LAD,628711,False,79.0,7.0,1.0,6.0,1.0,3.0
91,46,634557,COL,596295,True,73.0,3.0,1.0,2.0,7.0,1.0
92,47,634616,KC,518633,False,97.0,6.0,0.0,5.0,3.0,2.0
93,47,634616,CLE,663531,True,72.0,5.0,2.0,3.0,2.0,5.0
94,48,634612,TOR,571927,False,91.0,6.33,1.0,9.0,1.0,2.0
95,48,634612,TEX,592314,True,95.0,4.0,4.0,7.0,3.0,4.0
96,49,634606,NYM,594798,False,77.0,6.0,0.0,7.0,2.0,3.0
97,49,634606,PHI,519043,True,74.0,3.33,2.0,4.0,4.0,4.0
98,50,634601,TB,608379,False,90.0,5.0,4.0,6.0,2.0,8.0
99,50,634601,BOS,601713,True,92.0,5.0,0.0,4.0,4.0,2.0
100,51,634600,LAD,669160,False,85.0,6.0,0.0,8.0,2.0,2.0
101,51,634600,OAK,593423,True,90.0,2.67,7.0,4.0,3.0,7.0
102,52,634588,MIN,533167,False,92.0,6.0,1.0,5.0,0.0,3.0
103,52,634588,DET,570632,True,81.0,3.0,5.0,5.0,4.0,4.0
104,53,634591,SF,543101,False,86.0,5.0,1.0,4.0,3.0,4.0
105,53,634591,SD,670970,True,64.0,4.0,2.0,2.0,1.0,5.0
