,game_sequence,game_pk,team,is_home,batter,batting_order,ab,bb,hbp,single,double,triple,hr,sf
0,1,718767,CLE,False,680757,1,4,0,0,0,0,0,0,0
1,1,718767,CLE,False,642708,2,4,0,0,1,0,0,0,0
2,1,718767,CLE,False,608070,3,4,0,0,0,1,0,0,0
3,1,718767,CLE,False,605137,4,4,0,0,1,0,0,0,0
4,1,718767,CLE,False,647304,5,3,0,0,0,0,0,0,0
5,1,718767,CLE,False,665926,6,3,0,0,0,0,0,0,0
6,1,718767,CLE,False,686823,7,3,0,0,1,0,0,0,0
7,1,718767,CLE,False,572287,8,3,0,0,0,0,0,0,0
8,1,718767,CLE,False,664702,9,3,0,0,0,0,0,0,0
9,1,718767,SEA,True,677594,1,4,0,0,0,0,0,0,0
10,1,718767,SEA,True,543939,2,3,0,1,0,0,0,0,0
11,1,718767,SEA,True,664034,3,4,0,0,1,1,0,1,0
12,1,718767,SEA,True,606192,4,4,0,0,0,0,0,0,0
13,1,718767,SEA,True,663728,5,4,0,0,1,0,0,0,0
14,1,718767,SEA,True,553993,6,3,0,0,0,1,0,0,0
15,1,718767,SEA,True,672284,7,3,0,0,1,0,0,0,0
16,1,718767,SEA,True,600303,8,3,0,0,0,0,0,0,0
17,1,718767,SEA,True,641487,9,2,1,0,1,0,0,0,0
18,2,718782,BAL,False,656775,1,4,2,0,1,0,0,0,0
19,2,718782,BAL,False,668939,2,5,1,0,4,0,0,1,0
20,2,718782,BAL,False,623993,3,6,0,0,1,1,0,0,0
21,2,718782,BAL,False,663624,4,4,2,0,0,1,0,0,0
22,2,718782,BAL,False,683002,5,3,2,0,0,0,0,0,0
23,2,718782,BAL,False,602104,6,4,0,1,1,0,0,1,0
24,2,718782,BAL,False,669720,7,5,0,0,0,0,0,0,0
25,2,718782,BAL,False,624428,8,4,1,0,0,2,0,0,0
26,2,718782,BAL,False,622761,9,3,1,0,2,0,0,0,0
27,2,718782,BOS,True,657077,1,5,0,0,1,0,1,0,0
28,2,718782,BOS,True,646240,2,4,0,0,1,1,0,0,0
29,2,718782,BOS,True,457759,3,4,1,0,2,0,0,0,0
30,2,718782,BOS,True,807799,4,4,0,1,2,0,0,0,0
31,2,718782,BOS,True,594807,5,4,0,1,1,0,0,0,0
32,2,718782,BOS,True,671213,6,2,1,0,0,0,0,0,1
33,2,718782,BOS,True,624414,7,4,0,0,0,1,0,0,0
34,2,718782,BOS,True,624512,8,2,0,0,1,0,0,0,0
35,2,718782,BOS,True,571771,9,3,0,0,0,0,0,0,0
36,3,718780,ATL,False,660670,1,6,0,0,2,0,0,0,0
37,3,718780,ATL,False,621566,2,5,0,0,1,1,0,0,0
38,3,718780,ATL,False,663586,3,2,3,0,0,0,0,0,0
39,3,718780,ATL,False,645277,4,5,0,0,2,0,0,0,0
40,3,718780,ATL,False,669221,5,5,0,0,0,0,0,0,0
41,3,718780,ATL,False,542303,6,4,0,0,0,0,0,0,0
42,3,718780,ATL,False,671739,7,4,1,0,1,0,0,0,0
43,3,718780,ATL,False,518595,8,5,0,0,3,1,0,0,0
44,3,718780,ATL,False,606115,9,4,1,0,1,0,0,0,0
45,3,718780,WSH,True,657041,1,5,0,0,1,0,0,0,0
46,3,718780,WSH,True,608841,2,5,0,0,2,0,0,0,0
47,3,718780,WSH,True,600869,3,3,1,0,0,0,0,0,0
48,3,718780,WSH,True,642086,4,3,1,0,2,0,0,0,0
49,3,718780,WSH,True,660688,5,4,0,0,1,1,0,0,0
50,3,718780,WSH,True,669743,6,2,0,0,0,0,0,0,1
51,3,718780,WSH,True,671277,7,4,0,0,0,0,0,0,0
52,3,718780,WSH,True,645302,8,2,2,0,1,0,0,0,0
53,3,718780,WSH,True,682928,9,4,0,0,0,0,0,0,0
54,4,718779,PHI,False,607208,1,4,0,0,0,0,1,0,0
55,4,718779,PHI,False,656941,2,5,0,0,0,0,0,0,0
56,4,718779,PHI,False,592663,3,5,0,0,1,1,1,0,0
57,4,718779,PHI,False,669742,4,4,1,0,0,0,0,0,0
58,4,718779,PHI,False,592206,5,5,0,0,1,1,0,0,0
59,4,718779,PHI,False,681082,6,4,0,0,1,0,0,0,0
60,4,718779,PHI,False,664761,7,4,0,0,1,1,0,1,0
61,4,718779,PHI,False,595909,8,4,0,0,0,0,0,0,0
62,4,718779,PHI,False,669016,9,4,0,0,0,1,1,0,0
63,4,718779,TEX,True,543760,1,5,0,0,2,0,0,0,0
64,4,718779,TEX,True,608369,2,3,2,0,1,0,0,0,0
65,4,718779,TEX,True,663993,3,3,1,0,1,0,0,0,0
66,4,718779,TEX,True,666969,4,4,0,0,2,0,0,0,0
67,4,718779,TEX,True,673962,5,3,1,0,0,0,0,0,0
68,4,718779,TEX,True,641680,6,4,0,0,1,1,0,0,0
69,4,718779,TEX,True,543257,7,3,1,0,0,0,0,1,0
70,4,718779,TEX,True,543543,8,4,0,0,0,0,0,1,0
71,4,718779,TEX,True,669701,9,1,1,0,0,0,0,0,0
72,5,718778,COL,False,602074,1,5,0,0,1,0,0,0,0
73,5,718778,COL,False,592178,2,5,0,0,2,1,0,0,0
74,5,718778,COL,False,453568,3,5,0,0,2,1,0,0,0
75,5,718778,COL,False,543068,4,5,0,0,1,1,0,2,0
76,5,718778,COL,False,660707,5,5,0,0,1,0,0,1,0
77,5,718778,COL,False,641857,6,5,0,0,0,1,0,0,0
78,5,718778,COL,False,553869,7,4,1,0,1,0,0,0,0
79,5,718778,COL,False,605612,8,5,0,0,1,0,0,0,0
80,5,718778,COL,False,678662,9,5,0,0,1,0,0,0,0
81,5,718778,SD,True,663757,1,4,0,0,0,1,0,0,0
82,5,718778,SD,True,665742,2,4,0,0,0,0,0,0,0
83,5,718778,SD,True,592518,3,3,0,0,1,0,0,0,1
84,5,718778,SD,True,593428,4,4,0,0,1,2,0,0,0
85,5,718778,SD,True,630105,5,3,0,0,0,0,0,0,0
86,5,718778,SD,True,572761,6,3,0,0,0,0,0,0,0
87,5,718778,SD,True,543592,7,3,1,0,1,0,0,0,0
88,5,718778,SD,True,673490,8,4,0,0,1,0,0,0,0
89,5,718778,SD,True,621311,9,4,0,0,0,0,0,0,0
90,6,718777,MIL,False,592885,1,2,2,0,0,0,0,0,0
91,6,718777,MIL,False,608385,2,4,0,0,0,0,0,0,0
92,6,718777,MIL,False,642715,3,3,1,0,1,0,0,0,0
93,6,718777,MIL,False,642133,4,3,1,0,0,0,0,0,0
94,6,718777,MIL,False,661388,5,4,0,0,1,0,0,0,0
95,6,718777,MIL,False,649966,6,4,0,0,0,0,0,0,0
96,6,718777,MIL,False,669003,7,4,0,0,0,0,0,0,0
97,6,718777,MIL,False,605119,8,2,1,0,1,0,0,0,0
98,6,718777,MIL,False,668930,9,3,0,0,1,0,0,0,0
99,6,718777,CHC,True,663538,1,4,0,0,1,0,0,0,0
100,6,718777,CHC,True,621020,2,4,0,0,3,0,0,0,0
101,6,718777,CHC,True,664023,3,2,2,0,1,0,0,0,0
102,6,718777,CHC,True,641355,4,3,1,0,0,0,0,0,0
103,6,718777,CHC,True,641820,5,3,0,1,1,0,0,0,0
104,6,718777,CHC,True,543228,6,4,0,0,0,0,0,0,0
105,6,718777,CHC,True,543333,7,4,0,0,0,0,0,0,0
106,6,718777,CHC,True,621550,8,3,1,0,0,0,0,0,0
107,6,718777,CHC,True,670156,9,3,0,0,0,0,0,0,0
108,7,718776,DET,False,663837,1,3,0,0,0,0,0,0,0
109,7,718776,DET,False,595879,2,3,1,0,1,0,0,0,0
110,7,718776,DET,False,682985,3,3,1,0,1,0,0,0,0
111,7,718776,DET,False,606992,4,4,0,0,0,0,0,0,0
112,7,718776,DET,False,679529,5,4,0,0,0,0,0,0,0
113,7,718776,DET,False,640457,6,4,0,0,2,1,0,0,0
114,7,718776,DET,False,408234,7,4,0,0,0,1,0,0,0
115,7,718776,DET,False,570731,8,2,1,0,0,0,0,0,0
116,7,718776,DET,False,668952,9,3,0,0,0,0,0,0,0
117,7,718776,TB,True,650490,1,2,1,0,0,0,0,0,0
118,7,718776,TB,True,677551,2,4,0,0,1,0,0,1,0
119,7,718776,TB,True,670623,3,4,0,0,1,0,0,0,0
120,7,718776,TB,True,668227,4,4,0,0,1,0,0,0,0
121,7,718776,TB,True,623912,5,2,0,0,0,0,0,0,0
122,7,718776,TB,True,622534,6,3,0,0,0,0,0,0,0
123,7,718776,TB,True,664040,7,2,1,0,0,0,0,0,0
124,7,718776,TB,True,542194,8,2,1,0,0,0,0,0,0
125,7,718776,TB,True,642350,9,3,0,0,0,0,0,1,0
126,8,718781,SF,False,664774,1,3,1,0,0,0,0,0,0
127,8,718781,SF,False,624424,2,4,0,0,1,0,0,0,0
128,8,718781,SF,False,527038,3,3,1,0,0,0,0,0,0
129,8,718781,SF,False,592626,4,3,1,0,0,0,0,0,0
130,8,718781,SF,False,573262,5,2,0,0,0,0,0,0,0
131,8,718781,SF,False,642731,6,4,0,0,2,0,0,0,0
132,8,718781,SF,False,543063,7,3,0,0,0,0,0,0,0
133,8,718781,SF,False,666165,8,2,0,0,0,0,0,0,0
134,8,718781,SF,False,547379,9,2,0,0,1,0,0,0,0
135,8,718781,NYY,True,518934,1,4,0,0,1,0,0,0,0
136,8,718781,NYY,True,592450,2,4,0,0,1,0,0,1,0
