,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
0,564927,L,2019-03-20,BOS,BAL,6,4,519144,605164,643217,456488,646240,519048,571788,598265,543877,491676,607752,656775,542340,444432,448801,641820,547004,491696,621006,458913
1,567260,L,2019-03-20,AZ,CWS,11,2,642203,429722,527038,545121,606466,572233,519306,593647,519333,488671,642203,572365,602922,547170,605474,446386,605512,664901,641553,554054
2,567055,L,2019-03-20,DET,PHI,3,1,605513,601713,543281,592206,408234,592348,543484,500135,606988,474568,592444,457705,516416,547180,592663,546318,514917,596748,446481,601713
3,566958,L,2019-03-20,PIT,MIN,6,5,605397,501381,622569,543776,592567,591741,621028,623182,607732,665975,605397,596146,593871,443558,592696,543068,503556,570731,553902,621439
4,566758,L,2019-03-20,CIN,TEX,6,1,543699,592716,608385,594988,578428,553993,640447,571657,656582,664167,543699,425783,596059,462101,608577,452678,608597,452254,425772,592261
5,566564,L,2019-03-20,MIA,STL,6,0,641154,594965,434158,605119,435522,516770,643265,500743,621446,595453,641154,451594,502671,657557,641933,500874,543939,446308,592685,594965
6,566466,W,2019-03-20,CLE,SF,0,13,592644,519141,547982,543401,641343,571980,547379,656185,425900,671289,655316,621453,605412,457763,474832,446334,543063,467827,500208,519141
7,566862,L,2019-03-20,ATL,TOR,8,7,656794,533167,621020,622666,660670,435263,518586,665506,519421,465753,656794,592273,545341,606192,434778,666971,607680,641856,643376,520471
8,566083,L,2019-03-20,SEA,OAK,9,7,594835,571666,543829,571745,457803,429665,570267,553882,592387,542921,400085,657656,656305,572039,501981,640461,621566,595777,543760,460026
9,565603,W,2019-03-20,NYY,HOU,1,2,656547,489119,650402,609280,572228,595885,596142,640449,642180,642731,542993,543807,514888,608324,488726,621043,493329,502210,455139,643393
10,565410,L,2019-03-20,KC,COL,8,7,605347,542881,593160,609275,460086,624585,643524,572008,641531,595956,571740,453568,502517,571448,596115,621311,435622,641857,448602,455104
11,565313,W,2019-03-20,LAA,CLE,2,4,572140,471911,457708,488721,571506,607345,621493,600303,527049,641807,541600,434670,608700,467793,656669,572204,621559,608715,623513,680757
12,565121,L,2019-03-20,LAD,CHC,4,4,669160,430935,572041,457759,608369,571771,641355,621035,605131,621458,669160,450314,592178,519203,595879,656941,575929,518792,430935,664023
13,566272,L,2019-03-20,MIL,SD,10,7,605540,621381,541650,592325,542583,444489,543768,519346,606115,605486,605540,435079,543333,592518,642336,571976,592669,649966,622534,621381
14,566368,W,2019-03-21,CIN,SEA,3,6,621199,643290,608385,594988,578428,518618,640447,571657,592200,664167,621445,622738,641584,657108,641786,672284,607632,656551,641929,622268
15,567549,W,2019-03-21,LAD,MIL,5,11,547943,669203,592626,457759,571970,571771,621035,431145,657077,485567,547943,592325,592885,460075,543768,541650,518735,519058,573135,669203
16,567261,W,2019-03-21,TEX,CWS,2,12,434628,467100,642201,542454,452254,621550,643396,523253,488818,643335,545337,544725,660162,547989,475174,543510,594953,641313,570560,641553
17,567056,W,2019-03-21,TOR,PHI,6,13,543208,592826,592273,545341,606192,475253,666971,641856,641943,643376,520471,457705,516416,547180,592663,608384,514917,664068,461865,592826
18,566759,W,2019-03-21,CLE,TEX,3,7,605182,592767,467793,608070,656669,608700,572204,606992,621559,656293,656822,425783,596059,462101,608577,452678,608597,571602,425772,592261
19,566661,W,2019-03-21,ATL,TB,1,8,657140,656713,542255,645277,663586,452095,594807,519421,534606,453527,594985,622110,502054,621002,664040,541645,572287,628338,663993,605183
20,566565,W,2019-03-21,NYY,STL,3,11,593334,663765,650402,609280,640449,570482,643436,664060,543432,547181,542993,451594,502671,657557,542303,425877,543939,664056,592685,669357
21,566178,W,2019-03-21,BAL,PIT,5,7,605276,502042,596105,641820,448801,547004,572073,642082,593643,607054,623515,624428,663495,572816,605137,465041,628356,466320,570481,502042
22,565507,W,2019-03-21,HOU,DET,3,5,656686,519043,643393,649557,608324,663656,643603,657027,669008,545358,545350,543281,592206,408234,592348,600869,621514,543308,474568,592444
23,565987,W,2019-03-21,MIA,NYM,0,6,612672,571927,500743,445988,605119,621446,598284,623912,595375,592407,612672,607043,624413,429664,467092,624424,605204,643446,642708,571927
24,565893,W,2019-03-21,STL,WSH,1,7,571476,476451,669242,622168,500874,641933,446308,621011,666185,656734,656568,594809,607208,665742,543685,475582,543228,572821,435559,645302
25,565218,L,2019-03-21,KC,CIN,14,6,641571,543101,571740,572008,656811,624585,600858,596144,571718,650619,605253,571697,458015,461314,553993,624577,669222,606299,571466,543101
26,565122,L,2019-03-21,SF,CHC,5,5,502188,543294,621453,500208,474832,446334,543063,607776,459964,605244,502188,546991,592178,519203,623520,664023,595943,605170,543294,657145
