,game_pk,home_result,date,away_team,home_team,away_final_score,home_final_score,away_starting_pitcher,home_starting_pitcher,away_b1,away_b2,away_b3,away_b4,away_b5,away_b6,away_b7,away_b8,away_b9,home_b1,home_b2,home_b3,home_b4,home_b5,home_b6,home_b7,home_b8,home_b9
35,490120,L,2017-04-05,ATL,NYM,3,1,112526,594798,542255,621020,518692,461314,455976,408252,611177,435559,112526,408314,452678,493316,434158,435522,457803,446263,518595,594798
36,490147,L,2017-04-06,TOR,TB,5,2,573186,605483,456665,518626,430832,434778,453064,431145,475253,607680,446381,572816,595281,446334,543543,519306,489149,542921,605480,491696
37,490146,L,2017-04-06,SEA,HOU,4,2,664641,605397,516416,571745,429664,443558,572122,502143,434563,502481,547982,543807,503556,514888,621043,136860,493329,435263,545350,493114
38,490145,W,2017-04-06,SF,AZ,3,9,502188,592662,491676,474832,452254,457763,543063,456488,502029,431094,502188,572041,444482,502671,571875,572008,543302,518614,425772,592662
39,490144,W,2017-04-06,SD,LAD,2,10,450308,435221,608671,622534,571976,500208,572114,592669,516949,430947,450308,592808,608369,523253,408236,592626,400284,624577,605131,435221
40,490142,W,2017-04-06,PHI,CIN,4,7,453329,606959,514917,537953,546318,596748,459431,595284,595426,520471,453329,571740,606299,458015,594807,553993,594988,446359,642156,606959
41,490141,L,2017-04-06,MIA,WSH,4,3,543408,461829,543829,500743,592885,519317,542303,592663,571506,588751,543408,607208,594809,547180,502517,475582,543685,150029,461829,446308
42,490139,W,2017-04-06,KC,MIN,3,5,434628,502043,460086,519058,456715,543333,521692,461235,449181,444876,609275,572821,596146,621439,408045,593934,488771,593871,592696,542454
43,490138,W,2017-04-06,DET,CWS,2,11,571510,448306,435079,592206,408234,400121,457708,607385,543510,592444,578428,573135,641313,466320,547989,453943,541645,571602,434567,594576
44,490137,L,2017-04-06,COL,MIL,2,1,622608,502624,453568,518934,471865,571448,596115,467827,448602,572863,622608,542340,519346,542583,543768,570267,541650,542979,542908,502624
45,490135,W,2017-04-06,ATL,NYM,2,6,448802,518774,542255,621020,518692,461314,455976,408252,611177,452095,448802,408314,452678,493316,527038,434158,435522,457803,518595,518774
46,490121,L,2017-04-06,CHC,STL,6,4,407793,458681,656941,592178,519203,450314,608365,518792,471083,407793,445055,451594,649557,572761,425877,571431,545341,576397,543939,458681
47,490140,W,2017-04-06,LAA,OAK,1,5,572140,592811,488862,594777,545361,405395,543068,519184,592743,460060,542208,434658,543760,476704,501981,592387,461858,592192,572033,489267
48,490157,W,2017-04-07,NYY,BAL,5,6,622663,434622,458731,596142,595885,407812,453056,516770,452104,592450,591720,452234,430945,592518,448801,444432,456078,547957,570731,429666
49,490161,W,2017-04-07,TOR,TB,8,10,434538,542882,581527,518626,430832,434778,453064,475253,485567,457454,607680,519306,595281,446334,430001,519083,543543,542921,621002,488721
50,490162,L,2017-04-07,WSH,PHI,7,6,453286,592826,607208,594809,547180,502517,475582,150029,543685,446308,453286,514917,435062,546318,596748,459431,571830,519237,520471,592826
51,490160,W,2017-04-07,SEA,LAA,1,5,451596,445926,516416,571745,429664,443558,572122,502143,502481,572287,628338,488862,594777,545361,405395,543068,457727,592743,457787,455117
52,490159,W,2017-04-07,SF,SD,6,7,430912,606131,605412,431094,474832,543063,460026,456488,592620,491676,430912,622534,608671,571976,500208,572114,592669,595978,430947,606131
53,490158,W,2017-04-07,OAK,TEX,5,10,593417,456167,434658,459964,592387,501981,519390,476704,461858,475174,543760,460576,425783,608577,435063,596059,518960,608336,462101,595777
54,490156,L,2017-04-07,MIN,CWS,3,1,461833,502706,572821,543257,621439,593934,593871,596146,500871,460269,592696,573135,641313,466320,547989,453943,605125,541645,434567,544725
55,490149,W,2017-04-07,BOS,DET,5,6,453214,605242,571788,456030,643217,519048,455759,598265,506702,467055,593523,435079,592206,408234,400121,457708,607385,543510,592444,578428
56,490154,W,2017-04-07,LAD,COL,1,2,547943,607536,523253,429711,457759,624577,475100,518735,571771,592626,547943,453568,518934,471865,571448,596115,448602,506924,572863,607536
57,490153,L,2017-04-07,KC,HOU,5,1,450306,571666,460086,519058,456715,543333,521692,461235,449181,444876,609275,543807,608324,514888,621043,136860,594828,502210,493329,493114
58,490152,W,2017-04-07,CLE,AZ,3,7,458708,571946,467793,596019,488726,429665,608070,650490,571980,543228,458708,572041,444482,502671,571875,630111,592273,455104,605113,571946
59,490151,L,2017-04-07,CIN,STL,2,0,607237,502190,571740,606299,458015,594807,594988,446359,571697,571466,607237,451594,649557,572761,572039,425509,425877,545341,543939,502190
60,490150,W,2017-04-07,CHC,MIL,1,2,474463,519076,656941,592178,519203,450314,608365,518792,575929,474463,595879,542340,570267,460075,543768,542583,541650,444489,606115,519076
61,490148,W,2017-04-07,ATL,PIT,4,5,592314,467100,542255,621020,518692,461314,455976,408252,611177,435559,592314,516782,605137,457705,570256,501896,465041,543281,474568,467100
62,490155,L,2017-04-07,MIA,NYM,7,2,612672,554430,543829,454560,592885,519317,571506,542303,518618,588751,612672,408314,452678,493316,527038,434158,435522,457803,425784,554430
63,490171,W,2017-04-08,MIN,CWS,2,6,606167,456068,572821,596146,593934,408045,593871,488771,621439,592696,500871,573135,641313,466320,547989,453943,541645,434567,571602,594576
64,490177,W,2017-04-08,WSH,PHI,3,17,425386,605400,607208,594809,547180,502517,475582,150029,543685,446308,544836,514917,435062,546318,596748,459431,571830,519237,520471,605400
65,490176,W,2017-04-08,TOR,TB,2,3,592717,502042,581527,518626,430832,434778,453064,456665,431145,475253,607680,572816,595281,446334,543543,519306,489149,519083,605480,542921
66,490175,W,2017-04-08,SEA,LAA,4,5,433587,445060,516416,571745,429664,443558,572122,502143,547982,572287,502481,488862,594777,545361,405395,592743,457727,527043,457787,455117
67,490174,W,2017-04-08,SF,SD,1,2,518516,468504,452655,474832,452254,457763,543063,456488,605412,592620,518516,622534,571976,500208,592669,518466,596143,595978,642707,468504
68,490172,W,2017-04-08,NYY,BAL,4,5,547888,592332,458731,596142,407812,474892,453056,516770,452104,543305,591720,452234,430945,592518,448801,444432,456078,547957,570731,429666
69,490170,L,2017-04-08,MIA,NYM,8,1,543045,607229,592663,500743,592885,519317,571506,542303,518618,588751,543045,434158,452678,493316,527038,435522,457803,446263,518595,607229
70,490173,L,2017-04-08,OAK,TEX,6,1,608665,506433,543760,459964,592387,501981,519390,476704,475174,592192,434658,460576,425783,608577,435063,596059,518960,608336,607387,462101
71,490168,L,2017-04-08,KC,HOU,7,3,518633,572971,460086,456715,543333,521692,596144,449181,444876,518568,460077,543807,608324,514888,621043,136860,493329,503556,435263,545350
72,490163,W,2017-04-08,ATL,PIT,4,6,285079,641771,542255,621020,518692,611177,455976,408252,607054,435559,285079,624428,516782,457705,570256,444379,465041,543281,474568,641771
73,490164,W,2017-04-08,BOS,DET,1,4,593958,519455,571788,456030,643217,519048,467055,598265,455759,593523,543877,435079,592206,408234,400121,457708,543484,543510,592444,578428
74,490165,L,2017-04-08,CHC,MIL,11,6,543294,543548,656941,592178,519203,450314,608365,575929,595879,543294,546991,542340,519346,543768,542583,543590,545338,542908,606115,543548
75,490169,W,2017-04-08,LAD,COL,2,4,477132,592351,592808,608369,457759,408236,592626,518735,624577,400284,477132,453568,518934,571448,596115,448602,467827,506924,572863,592351
76,490167,W,2017-04-08,CLE,AZ,2,11,545333,425844,467793,596019,488726,429665,608070,650490,571980,547379,545333,572008,444482,502671,571875,630111,592273,571757,425772,425844
77,490166,W,2017-04-08,CIN,STL,4,10,276520,608379,571697,570489,458015,594807,553993,446359,623182,571466,276520,451594,649557,572761,571431,425877,545341,576397,543939,608379
78,490191,W,2017-04-09,TOR,TB,2,7,462136,543606,581527,518626,430832,434778,453064,431145,475253,607680,485567,572816,595281,446334,543543,519306,489149,621002,605480,491696
79,490192,W,2017-04-09,WSH,PHI,3,4,544931,476451,594809,543685,547180,502517,452252,150029,452220,446653,544931,514917,435062,546318,596748,459431,571830,595284,520471,476451
80,490190,W,2017-04-09,SEA,LAA,9,10,547874,533167,516416,571745,429664,443558,572122,502143,547982,434563,600301,488862,594777,545361,405395,592743,543068,519184,457787,542208
81,490188,W,2017-04-09,OAK,TEX,1,8,640455,527048,543760,434658,592387,501981,476704,461858,592192,572033,489267,460576,462101,608577,435063,596059,607387,455139,608336,592261
