,game_sequence,game_pk,team,starting_pitcher,is_home,n_pitches,ip,er,k,bb,h
0,1,413661,STL,425794,False,101.0,6.0,0.0,6.0,0.0,5.0
1,1,413661,CHC,452657,True,89.0,4.33,3.0,6.0,2.0,8.0
2,2,413662,TEX,451596,False,89.0,4.0,4.0,5.0,1.0,6.0
3,2,413662,OAK,543243,True,98.0,8.0,0.0,3.0,1.0,1.0
4,3,413660,SF,518516,False,93.0,7.0,1.0,3.0,1.0,6.0
5,3,413660,AZ,518567,True,89.0,4.67,4.0,4.0,1.0,10.0
6,4,413659,SD,448306,False,95.0,6.0,2.0,8.0,2.0,6.0
7,4,413659,LAD,477132,True,99.0,6.0,3.0,9.0,2.0,6.0
8,5,413658,PIT,434538,False,92.0,7.0,2.0,7.0,3.0,2.0
9,5,413658,CIN,456501,True,100.0,7.0,0.0,10.0,1.0,4.0
10,6,413657,NYM,112526,False,86.0,6.0,1.0,8.0,1.0,3.0
11,6,413657,WSH,453286,True,97.0,7.67,0.0,8.0,2.0,4.0
12,7,413656,MIN,461833,False,93.0,6.0,4.0,6.0,1.0,8.0
13,7,413656,DET,456034,True,101.0,8.67,0.0,5.0,0.0,5.0
14,8,413663,TOR,571800,False,93.0,6.0,1.0,3.0,2.0,3.0
15,8,413663,NYY,547888,True,82.0,4.0,4.0,6.0,2.0,5.0
16,9,413654,CLE,446372,False,102.0,7.33,2.0,7.0,2.0,3.0
17,9,413654,HOU,572971,True,103.0,7.0,0.0,4.0,3.0,3.0
18,10,413653,CWS,502188,False,92.0,6.0,5.0,1.0,3.0,6.0
19,10,413653,KC,570649,True,81.0,6.0,1.0,2.0,1.0,4.0
20,11,413652,BOS,453329,False,94.0,7.0,0.0,9.0,1.0,3.0
21,11,413652,PHI,430935,True,100.0,5.0,4.0,6.0,3.0,5.0
22,12,413651,BAL,501957,False,95.0,6.67,1.0,4.0,3.0,4.0
23,12,413651,TB,502042,True,85.0,5.67,3.0,5.0,1.0,6.0
24,13,413650,ATL,527054,False,96.0,6.0,1.0,4.0,1.0,8.0
25,13,413650,MIA,506693,True,81.0,7.0,2.0,2.0,0.0,6.0
26,14,413649,LAA,450308,False,90.0,6.0,4.0,1.0,0.0,8.0
27,14,413649,SEA,433587,True,97.0,7.0,1.0,10.0,1.0,2.0
28,15,413655,COL,452718,False,93.0,7.0,0.0,6.0,0.0,7.0
29,15,413655,MIL,346798,True,73.0,3.33,8.0,1.0,0.0,10.0
30,16,413670,TEX,407890,False,93.0,6.0,1.0,4.0,2.0,3.0
31,16,413670,OAK,534910,True,91.0,6.0,3.0,3.0,0.0,7.0
32,17,413669,SF,285064,False,99.0,4.67,7.0,5.0,4.0,6.0
33,17,413669,AZ,523989,True,92.0,5.33,6.0,5.0,2.0,8.0
