,game_pk,away_team,away_sp,np,ip,er,k,bb,h
114,718666,HOU,677651,86,4.0,4.0,4,3,6
115,718665,OAK,660261,79,4.33,5.0,1,4,3
116,718664,NYY,666745,92,5.0,1.0,2,2,3
117,718663,SEA,594835,93,5.67,1.0,5,3,6
118,718672,KC,663903,79,6.0,5.0,4,0,8
119,718661,MIA,669432,92,4.67,3.0,5,2,4
120,718660,STL,656756,100,7.0,0.0,9,2,3
121,718659,SD,608379,95,6.0,0.0,10,1,2
122,718658,WSH,592866,88,5.33,2.0,4,0,5
123,718657,TOR,621244,71,4.0,4.0,5,1,6
124,718656,LAD,592789,72,4.0,6.0,2,0,8
125,718662,CWS,605182,88,5.33,4.0,1,2,8
126,718655,OAK,621076,106,4.67,7.0,6,3,7
127,718654,BOS,676710,65,5.0,1.0,6,0,5
128,718653,CWS,656629,102,6.0,1.0,5,3,2
129,718652,CIN,656818,65,4.0,4.0,4,3,6
130,718651,NYY,641482,91,5.33,2.0,5,2,4
131,718650,STL,663765,87,4.67,3.0,5,1,6
132,718649,HOU,686613,97,7.0,0.0,7,2,2
133,718647,MIA,666129,85,4.67,2.0,7,1,9
134,718646,SEA,669923,96,6.0,1.0,4,0,5
135,718645,WSH,641771,89,5.0,5.0,3,4,6
136,718644,TOR,579328,99,4.33,6.0,6,1,9
137,718643,KC,663460,76,6.0,0.0,9,0,2
138,718642,TEX,592351,100,5.67,2.0,4,3,6
139,718639,LAD,675627,66,3.33,9.0,4,1,12
140,718648,SD,607625,109,6.0,1.0,5,4,5
141,718635,OAK,676664,90,5.0,3.0,4,1,3
142,718641,LAD,628711,96,6.0,1.0,8,2,4
143,718638,BOS,601713,83,5.0,0.0,6,2,3
144,718637,NYY,593334,87,3.0,1.0,0,5,2
145,718636,CIN,668933,97,6.0,2.0,7,3,6
146,718634,SD,506433,104,6.33,5.0,5,1,6
147,718640,CWS,656302,98,5.0,1.0,6,2,3
148,718632,HOU,664285,107,7.0,2.0,5,5,3
149,718627,MIL,489119,90,5.0,3.0,3,3,5
150,718628,SEA,622491,93,6.0,2.0,5,2,6
151,718633,MIA,645261,77,4.0,9.0,4,1,10
152,718630,KC,425844,89,5.0,3.0,3,1,6
153,718629,STL,571927,92,5.67,6.0,4,2,9
154,718631,WSH,571578,86,5.0,4.0,3,3,7
155,718625,BOS,676477,85,5.0,5.0,5,0,8
156,718623,HOU,664299,96,6.0,4.0,3,1,5
157,718622,DET,666159,85,6.0,4.0,3,1,6
158,718621,SD,677960,89,5.0,1.0,3,2,3
159,718620,CIN,570666,71,3.67,5.0,1,2,7
160,718619,MIA,666200,98,6.0,3.0,5,1,8
161,718626,NYY,543037,97,7.0,2.0,3,2,5
162,718617,SEA,623167,74,2.33,8.0,1,2,10
163,718618,OAK,666205,87,4.0,6.0,3,3,7
164,718611,MIL,669203,89,8.0,0.0,8,0,3
165,718613,STL,571945,89,5.0,6.0,3,2,10
166,718624,LAD,669160,77,5.33,2.0,3,4,2
167,718615,KC,543475,92,6.33,4.0,4,2,8
