,game_pk,home_team,home_sp,np,ip,er,k,bb,h
114,718666,MIN,657746,81,6.0,4.0,10,1,3
115,718665,TB,605488,89,7.0,0.0,7,3,3
116,718664,BAL,608344,101,4.67,3.0,5,4,4
117,718663,CLE,615698,93,5.0,3.0,3,1,7
118,718672,SF,640455,76,6.0,1.0,8,1,3
119,718661,NYM,673540,90,6.0,1.0,6,3,3
120,718660,MIL,641778,93,4.0,6.0,4,3,7
121,718659,ATL,450203,104,5.0,2.0,6,3,6
122,718658,COL,596295,82,4.67,5.0,5,1,7
123,718657,LAA,542881,88,4.67,5.0,4,2,7
124,718656,AZ,605200,86,4.33,5.0,3,4,5
125,718662,PIT,592826,75,2.67,5.0,1,4,6
126,718655,TB,656876,83,7.0,0.0,8,0,1
127,718654,DET,571510,75,4.67,2.0,4,4,5
128,718653,PIT,670912,89,6.67,0.0,5,0,5
129,718652,PHI,592836,105,4.67,2.0,5,5,3
130,718651,BAL,669330,89,6.0,4.0,6,0,6
131,718650,MIL,642547,102,6.0,1.0,7,3,4
132,718649,MIN,641816,90,6.0,4.0,6,1,8
133,718647,NYM,471911,83,4.67,6.0,1,3,6
134,718646,CLE,668676,91,7.0,2.0,6,1,5
135,718645,COL,663372,90,5.0,3.0,3,3,6
136,718644,LAA,672282,89,5.0,4.0,5,2,5
137,718643,SF,543101,88,6.33,1.0,7,0,3
138,718642,CHC,592791,83,5.0,4.0,7,1,6
139,718639,AZ,669194,96,6.0,3.0,3,2,4
140,718648,ATL,689266,84,4.33,7.0,3,1,10
141,718635,BAL,502043,92,6.33,1.0,4,3,5
142,718641,SF,657277,94,6.0,1.0,6,1,5
143,718638,TB,656222,27,2.0,0.0,2,0,1
144,718637,CLE,669456,99,7.0,2.0,4,3,5
145,718636,ATL,693821,103,6.33,0.0,7,1,6
146,718634,NYM,453286,97,5.0,0.0,6,3,1
147,718640,MIN,628317,83,6.0,4.0,3,0,8
148,718632,PIT,672710,83,3.33,7.0,3,4,9
149,718627,AZ,668678,96,7.0,0.0,11,1,3
150,718628,CHC,592767,76,5.0,1.0,7,1,2
151,718633,PHI,621381,59,5.0,0.0,6,1,4
152,718630,TEX,571760,93,5.0,0.0,10,2,2
153,718629,COL,608566,62,5.0,2.0,4,0,3
154,718631,LAA,660761,80,4.0,4.0,2,1,10
155,718625,TB,663556,95,5.0,1.0,9,4,2
156,718623,PIT,656605,94,6.0,2.0,7,2,6
157,718622,TOR,666201,94,4.33,3.0,3,5,4
