game_pk,pitcher,np,ip,k,hits,bb
718667,666214,47.0,2.0,0.0,1.0,4.0
718668,663559,86.0,5.0,2.0,4.0,0.0
718669,657006,96.0,6.0,3.0,4.0,4.0
718672,640455,76.0,6.0,8.0,3.0,1.0
718639,669194,96.0,6.0,3.0,4.0,2.0
718642,592791,83.0,5.0,7.0,6.0,1.0
718643,543101,88.0,7.0,7.0,3.0,0.0
718644,672282,89.0,6.0,5.0,5.0,2.0
718645,663372,90.0,5.0,3.0,6.0,3.0
718646,668676,91.0,7.0,6.0,5.0,1.0
718647,471911,83.0,5.0,1.0,6.0,3.0
718648,689266,84.0,5.0,3.0,10.0,1.0
718649,641816,90.0,6.0,6.0,8.0,1.0
718650,642547,102.0,6.0,7.0,4.0,3.0
718651,669330,89.0,6.0,6.0,6.0,0.0
718652,592836,105.0,5.0,5.0,3.0,5.0
718653,670912,89.0,7.0,5.0,5.0,0.0
718654,571510,75.0,5.0,4.0,5.0,4.0
718655,656876,83.0,7.0,8.0,1.0,0.0
718627,668678,96.0,7.0,10.0,3.0,1.0
718628,592767,76.0,5.0,7.0,2.0,1.0
718629,608566,62.0,5.0,4.0,3.0,0.0
718630,571760,93.0,5.0,10.0,2.0,2.0
718631,660761,80.0,4.0,2.0,10.0,0.0
718632,672710,83.0,4.0,3.0,9.0,4.0
718633,621381,59.0,5.0,6.0,4.0,1.0
718634,453286,97.0,5.0,6.0,1.0,3.0
718635,502043,92.0,7.0,4.0,5.0,3.0
718636,693821,103.0,7.0,7.0,6.0,1.0
718637,669456,99.0,7.0,4.0,5.0,3.0
718638,656222,27.0,2.0,2.0,1.0,0.0
718640,628317,83.0,6.0,3.0,8.0,0.0
718641,657277,94.0,6.0,6.0,5.0,1.0
718611,518876,98.0,7.0,7.0,1.0,4.0
718613,607536,83.0,6.0,5.0,6.0,2.0
718614,660271,92.0,7.0,6.0,1.0,5.0
718615,594798,98.0,7.0,9.0,7.0,0.0
718616,641154,98.0,8.0,10.0,3.0,1.0
718617,669713,64.0,2.0,0.0,6.0,4.0
718618,680570,99.0,5.0,6.0,6.0,4.0
718619,605400,100.0,6.0,6.0,9.0,0.0
718620,657140,75.0,3.0,3.0,4.0,4.0
718621,656849,89.0,6.0,6.0,6.0,2.0
718622,666201,94.0,5.0,3.0,4.0,4.0
718623,656605,94.0,6.0,7.0,6.0,2.0
718624,622072,75.0,5.0,5.0,1.0,3.0
718625,663556,95.0,6.0,9.0,2.0,4.0
718626,683769,67.0,4.0,3.0,8.0,2.0
718595,543135,91.0,5.0,7.0,10.0,0.0
718598,686753,54.0,4.0,4.0,3.0,0.0
718599,665152,90.0,5.0,1.0,5.0,2.0
718600,671737,78.0,5.0,8.0,5.0,1.0
718601,675911,98.0,5.0,9.0,4.0,2.0
718602,656288,69.0,5.0,4.0,5.0,0.0
718603,592332,103.0,8.0,11.0,5.0,0.0
718604,685410,66.0,5.0,3.0,4.0,0.0
718605,543243,78.0,5.0,5.0,3.0,2.0
718606,573186,98.0,6.0,6.0,5.0,2.0
718607,570632,77.0,5.0,6.0,5.0,1.0
718608,448179,95.0,6.0,0.0,5.0,2.0
718609,554430,95.0,6.0,6.0,3.0,3.0
718610,656731,81.0,5.0,3.0,3.0,3.0
718612,502171,77.0,4.0,2.0,8.0,1.0
718589,607259,92.0,6.0,2.0,5.0,3.0
718590,666745,34.0,1.0,0.0,6.0,1.0
718591,656756,96.0,7.0,5.0,6.0,2.0
718593,605135,107.0,6.0,7.0,4.0,3.0
718594,605488,41.0,4.0,5.0,1.0,0.0
718596,608344,80.0,4.0,4.0,5.0,2.0
718597,666157,97.0,5.0,6.0,8.0,2.0
718574,608379,93.0,5.0,3.0,11.0,1.0
718575,592789,92.0,6.0,9.0,6.0,2.0
718577,543548,82.0,5.0,3.0,3.0,2.0
718578,621076,95.0,4.0,4.0,4.0,7.0
718579,663903,85.0,5.0,8.0,10.0,0.0
718580,656557,90.0,4.0,6.0,4.0,4.0
718581,677651,91.0,5.0,7.0,6.0,2.0
718582,663765,81.0,6.0,3.0,7.0,1.0
718583,605182,92.0,6.0,5.0,1.0,5.0
718584,669432,96.0,7.0,7.0,5.0,1.0
718585,666214,94.0,6.0,7.0,6.0,1.0
718586,656818,55.0,3.0,0.0,5.0,3.0
718587,621244,77.0,5.0,6.0,4.0,0.0
718588,641482,93.0,7.0,7.0,5.0,0.0
718592,592866,95.0,6.0,2.0,4.0,2.0
718560,607625,93.0,4.0,5.0,8.0,1.0
718561,669923,90.0,7.0,3.0,6.0,0.0
718562,686613,99.0,7.0,5.0,5.0,1.0
718563,663460,100.0,5.0,3.0,10.0,1.0
718564,675627,79.0,6.0,6.0,2.0,2.0
718565,660261,92.0,7.0,5.0,4.0,2.0
718566,668933,89.0,6.0,4.0,4.0,4.0
718567,666129,81.0,6.0,5.0,4.0,1.0
718568,571927,110.0,6.0,6.0,3.0,5.0
718569,579328,94.0,6.0,9.0,4.0,1.0
718570,656629,97.0,6.0,4.0,6.0,4.0
718571,547179,79.0,4.0,6.0,8.0,2.0
718572,593334,78.0,7.0,11.0,3.0,0.0
718573,641771,96.0,5.0,2.0,7.0,3.0
718576,601713,99.0,5.0,4.0,5.0,3.0
718545,622491,91.0,7.0,9.0,2.0,0.0
718546,676664,88.0,6.0,3.0,4.0,0.0
718547,628711,100.0,6.0,6.0,8.0,1.0
718548,571945,92.0,6.0,4.0,7.0,2.0
718549,506433,100.0,7.0,12.0,4.0,2.0
718550,645261,82.0,6.0,9.0,6.0,0.0
718551,425844,88.0,6.0,6.0,4.0,1.0
718552,664285,95.0,7.0,7.0,4.0,2.0
718553,656302,113.0,6.0,5.0,6.0,4.0
718554,570666,88.0,4.0,0.0,14.0,3.0
718555,571578,94.0,6.0,4.0,5.0,0.0
718556,666201,101.0,5.0,5.0,9.0,4.0
718557,543037,109.0,9.0,10.0,2.0,1.0
718559,676477,99.0,7.0,5.0,3.0,2.0
718532,669160,87.0,6.0,1.0,8.0,0.0
718533,677960,94.0,6.0,5.0,6.0,2.0
718534,623167,78.0,6.0,5.0,6.0,1.0
718535,607536,61.0,3.0,1.0,8.0,1.0
718536,666205,98.0,5.0,3.0,13.0,2.0
718537,664299,97.0,5.0,5.0,3.0,2.0
718538,656427,90.0,7.0,4.0,4.0,3.0
718539,543475,95.0,8.0,3.0,4.0,3.0
718540,678394,72.0,3.0,5.0,8.0,1.0
718542,668881,47.0,3.0,1.0,3.0,0.0
718544,666200,100.0,5.0,6.0,6.0,2.0
718516,477132,105.0,7.0,9.0,3.0,0.0
718517,669302,99.0,6.0,8.0,5.0,0.0
718519,605483,95.0,5.0,5.0,3.0,3.0
718520,664353,81.0,5.0,4.0,7.0,2.0
718521,570632,70.0,5.0,2.0,7.0,2.0
718522,641745,81.0,4.0,2.0,3.0,5.0
718523,686610,102.0,5.0,5.0,5.0,3.0
718524,519242,94.0,6.0,11.0,3.0,2.0
718525,458681,107.0,6.0,7.0,10.0,3.0
718526,666157,101.0,5.0,4.0,12.0,1.0
718527,656756,79.0,4.0,2.0,10.0,0.0
718528,665795,92.0,6.0,8.0,6.0,2.0
718529,657376,68.0,4.0,5.0,6.0,0.0
718530,571510,82.0,5.0,4.0,5.0,2.0
718531,680686,98.0,6.0,3.0,4.0,4.0
