game_pk,batter,ab,bb,hbp,single,double,triple,hr,sf
718767,677594,4,0,0,0,0,0,0,0
718767,543939,3,0,1,0,0,0,0,0
718767,664034,4,0,0,1,1,0,1,0
718767,606192,4,0,0,0,0,0,0,0
718767,663728,4,0,0,1,0,0,0,0
718767,553993,3,0,0,0,1,0,0,0
718767,672284,3,0,0,1,0,0,0,0
718767,600303,3,0,0,0,0,0,0,0
718767,641487,2,1,0,1,0,0,0,0
718768,665161,4,0,0,1,0,0,0,0
718768,608324,4,0,0,0,0,0,0,0
718768,670541,3,0,1,0,0,0,1,0
718768,547989,4,0,0,1,0,0,0,0
718768,663656,2,2,0,0,0,0,0,0
718768,673237,4,0,0,0,0,0,0,0
718768,676694,3,0,0,0,0,0,0,0
718768,455117,3,0,0,1,0,0,0,0
718768,643289,3,0,0,0,0,0,0,0
718769,643393,3,1,0,0,1,0,0,0
718769,668843,3,0,0,0,0,0,0,0
718769,649557,3,1,0,2,0,0,0,0
718769,664913,4,0,0,1,1,0,0,0
718769,542583,3,0,0,0,0,0,0,0
718769,657656,4,0,0,0,0,0,0,0
718769,607054,3,0,0,0,0,0,0,0
718769,669127,2,1,0,0,0,0,0,0
718769,665923,3,0,0,1,0,0,0,0
718770,605141,4,1,0,0,0,0,0,0
718770,518692,4,1,0,2,0,0,0,0
718770,669257,4,0,0,2,1,0,0,1
718770,571970,5,0,0,0,0,0,0,0
718770,502110,4,0,0,1,0,0,0,0
718770,444482,4,0,0,2,0,0,0,0
718770,678246,2,2,0,0,0,0,0,0
718770,681546,3,1,0,1,0,0,1,0
718770,500743,4,0,0,1,1,0,0,0
718772,680977,6,0,0,2,0,0,1,0
718772,663457,4,2,0,1,0,0,0,0
718772,502671,4,1,0,1,1,0,0,0
718772,571448,5,0,0,1,1,0,0,0
718772,575929,4,0,0,2,0,0,0,0
718772,641933,4,1,0,0,0,0,1,0
718772,669357,3,1,0,1,0,0,0,0
718772,691023,5,0,0,1,0,0,0,0
718772,669242,5,0,0,2,0,0,0,0
718773,663697,4,1,0,1,1,0,0,0
718773,670770,4,1,0,0,0,0,0,0
718773,641584,4,1,0,2,0,0,0,0
718773,663886,4,0,0,0,0,0,0,0
718773,613564,4,0,0,0,0,1,0,0
718773,571976,3,1,0,1,0,0,0,0
